"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","-","306.52","-","-","206.46","-","-","-","-","-","-"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","-","223.28","-","-","173.07","-","-","-","-","-","-"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","-","-","-","-","-","-","-","1600.00","1000.00","-","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","46.61","63.29","48.66","-","-","-","-","-","-","-","-"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","153.26","133.25","119.72","126.58","96.55","154.92","129.74","156.59","143.26","136.35","124.90"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","-","346.63","334.66","-","-","-","-","396.47","322.69","-","-"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","-","326.63","-","400.00","275.89","-","450.00","-","432.67","-","-"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","-","116.57","-","-","-","-","-","-","-","-","-"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","-","220.00","-","-","-","-","-","-","-","-","-"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-","-","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","30.00","43.27","30.00","31.58","33.25","50.00","44.81","52.63","30.00","45.00","24.66"
"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","173.32","150.00","-","146.66","162.48","152.48","150.00","158.99","150.00","184.93","-"
"2","CONSTRUCTION MATERIALS","Lime","","-","-","-","-","3.00","-","-","-","3.00","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","3.13","3.33","1.20","-","-","2.90","2.30","2.61","-","3.30","3.15"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","34.66","40.00","35.00","33.25","35.65","35.00","34.50","35.00","35.00","40.00","37.42"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","63.29","73.29","55.00","54.85","60.00","60.00","57.45","65.00","-","64.81","55.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","121.99","118.66","-","-","120.00","118.00","110.00","108.67","-","108.00","-"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","12.00","22.00","-","-","-","40.00","30.00","-","-","-","-"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","130.00","130.00","-","-","146.65","239.79","148.57","130.00","128.31","-","-"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","250.00","240.00","-","123.31","-","-","250.00","271.66","263.29","-","139.64"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","600.00","-","-","-","-","-","-","-","-","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","-","20.00","-","-","-","-","-","-","-","10.00","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","2.25","-","-","-","-","-","-","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","-","-","-","-","-","-","-","-","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","276.63","-","-","330.00","270.00","220.00","-","-","-","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","186.61","-","-","300.00","-","-","-","-","-","-"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","200.00","-","-","-","-","-","-","-","-","193.75"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","80.00","-","-","-","-","-","-","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","-","-","-","-","-","-","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-","-","-","-","-","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","180.00","-","-","-","-","-","114.89","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","-","130.00","114.93","-","-","-","-","130.00","-","-","-"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","-","140.00","-","-","-","-","-","271.66","-","-","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","-","-","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-","-","-","28.81","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","346.63","-","-","294.96","220.00","-","-","-","-","-"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","1766.03","-","-","-","-","-","1549.46","-","-","-"
"1","WATER","Water","Meter ","4.00","5.00","-","-","-","6.00","-","7.50","3.00","-","10.00"
"2","FUEL AND POWER","Fire Wood","Meter ","156.53","425.17","-","145.24","-","292.52","254.39","-","125.47","126.29","345.71"
"3","FUEL AND POWER","Charcoal","","3.06","6.90","-","5.58","10.81","4.48","5.11","3.92","5.96","6.45","5.14"
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-","-","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","-","14.41","-","-","-","14.26","-","-","-","-","-"
"6","FUEL AND POWER","Diesel","","-","17.47","-","-","-","17.32","-","-","-","-","-"
"7","FUEL AND POWER","Electric","",".27",".27","-","-","-",".27",".27",".27",".27",".27",".27"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","-","-","-","-","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","5.00","6.00","5.00","-","5.00","5.16","5.00","-","-","5.66","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","900.00","700.00","500.00","-","1497.77","771.36","670.82","816.33","646.33","-","-"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-","-","-","723.04","-","800.00","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","250.00","232.08","200.00","379.65","266.37","-","269.81","183.27","153.03","209.76","-"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","-","-","-","-","-","169.80","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","5000.00","6745.37","4000.00","-","3599.07","-","3240.37","1200.00","2400.00","3549.65","-"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","3500.00","3659.31","2000.00","1930.98","2663.71","2700.00","1469.69","1649.49","2098.41","2000.00","1700.00"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","-","15659.47","-","-","18327.34","-","-","-","-","12490.00","-"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","1165.70","1197.22","700.00","-","-","-","921.95","-","900.00","1095.45","-"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","2500.00","4242.64","1800.00","-","2931.79","-","-","1096.96","-","3000.00","-"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","-","300.00","-","-","-","-","-","269.88","206.46","-","-"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","-","406.56","-","-","-","-","-","316.42","-","-","-"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","-","-","-","-","-","289.89","300.00","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","-","346.63","-","-","-","-","-","476.22","293.18","-","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","-","-","-","-","-","-","-","1149.27","1096.96","-","-"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","63.16","-","-","-","-","-","109.70","-","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","-","113.24","-","-","105.54","-","-","-","-","-","-"
"8","EARTHEN WARE","Plastic tile","m","-","50.00","-","-","60.00","-","70.00","-","-","58.28","-"
"9","EARTHEN WARE","Water Pot","","33.25","24.31","14.66","11.29","26.96","23.45","18.88","28.31","11.40","13.30","17.54"
"10","EARTHEN WARE","'Jebena' Medium Size","","10.00","31.58","-","15.33","35.00","20.00","10.91","30.65","10.00","-","22.57"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","27.00","66.49","-","35.00","50.00","80.00","35.97","60.66","31.58","25.00","58.28"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","-","66.63","54.77","40.00","71.63","-","-","57.63","54.85","51.61","-"
"13","EARTHEN WARE","Cup for Coffee (China)","","5.00","5.31","5.00","5.65","6.00","5.65","5.94","6.00","5.65","5.31","5.65"
"14","EARTHEN WARE","Plate Clay (imported)","","-","16.51","-","-","12.00","-","-","15.33","-","-","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","20.00","33.25","22.99","-","35.00","40.00","-","48.32","31.58","-","35.00"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","7.65","10.00","10.00","10.00","17.00","10.00","9.65","8.65","10.00","10.00","8.96"
"17","METAL WARE","Cooking Pan Medium (Local)","","58.28","56.62","149.78","93.30","76.63","63.29","58.28","121.64","136.35","83.30","-"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","-","40.00","-","-","60.00","-","-","62.30","68.29","-","-"
"19","METAL WARE","Electric 'Mitad' Aluminium","","-","1232.45","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","160.00","146.59","-","-","151.65","-","150.00","-","-","150.00","-"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","-","153.26","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","-","9449.87","-","-","-","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","21.31","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","43.27","42.98","45.00","39.32","45.00","45.33","43.27","49.32","40.00","40.00","-"
"6","GLASS WARE","Glass for Tea (Duralex)","","-","6.32","-","-","7.00","-","-","-","-","-","-"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","-","-","-","-","-","-","84.90","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","5.00","-","-","4.64","5.31","5.00","3.63","-","-","2.00","-"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","-","-","-","-","-","-","-","15.33","-","-"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","13.92","15.00","10.00","13.61","12.32","15.00","12.56","13.33","12.32","14.66","11.60"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","-","-","-","-","-","-","-","-","-","-","-"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","-","12.00","8.00","12.00","12.00","12.00","11.32","-","12.00","12.00","-"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","5.00","5.00","5.00","4.71","4.07","-","3.33","1.50","1.50","5.00","2.14"
"14","HOUSEHOLD OPERATION","Incense","","-","60.00","-","-","-","-","75.00","-","-","-","-"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50",".50","-",".50",".50",".50",".66",".50",".50",".50","-"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","10.00","10.00","8.00","10.00","9.65","9.32","9.28","9.00","10.00","10.00","6.00"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.50","2.50","-","2.50","3.75","2.41","2.41","2.25","2.50","2.50","2.41"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","-","41.60","-","-","-","-","45.00","-","-","-","-"
"2","DOMESTIC SERVICE","Maid Servant","M","114.47","215.44","-","-","-","300.00","173.21","-","-","88.79","173.21"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","21.54","43.09","-","20.00","50.00","46.42","36.59","34.76","-","33.25","36.59"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","330.19","-","-","-","-","-","359.91","-","-","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","28.00","28.00","28.00","44.80","31.46","-","-","-","30.00","33.60","30.00"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","28.00","23.84","-","28.00","30.98","22.40","22.40","-","25.00","28.00","-"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","7.48","6.65","7.00","-","12.93","10.00","-","8.00","-","8.94","8.00"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","-","25.99","31.00","-","30.98","-","33.60","16.80","30.00","39.20","25.00"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","6.00","4.00","-","6.00","4.31","4.00","4.00","4.00","-","4.00","5.00"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","23.45","18.64","-","-","25.00","18.00","-","-","-","23.00","-"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","13.42","9.00","4.82","-","18.97","9.32","12.00","9.00","-","9.00","6.00"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","6.00","4.93","3.00","6.00","7.27","5.00","6.00","8.00","-","4.00","8.00"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","14.49","9.91","8.57","16.43","-","13.42","10.39","9.00","12.00","12.00","9.00"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","6.00","4.00","2.00","4.90","6.60","3.00","6.00","4.90","3.00","4.90","3.00"
"15","MEDICAL CARE","Insulin(Lente)","Butt","-","65.00","-","-","-","-","-","-","-","-","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","16.00","16.00","12.19","22.40","18.79","12.80","12.80","19.20","16.00","17.53","19.05"
"17","MEDICAL CARE","Magnesium Oxide","30 P","12.00","6.00","-","9.00","12.00","8.14","-","-","6.00","9.00","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-","-","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","-","5.00","-","-","5.00","-","7.00","5.00","5.00","5.00","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","-","10.00","-","-","10.00","-","-","-","-","-","-"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","2.00","1.59","-","-","2.00","2.00","2.00","1.00","-","-","-"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","-","6.30","-","5.00","6.30","10.00","-","-","-","-","-"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","-","12.00","-","-","-","-","25.00","-","-","10.00","-"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","-","-","-","-","-","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","-","-","-","-","30.00","-","-","-","-","-"
"5","TRANSPORT","Benzene","","-","-","-","-","-","19.62","-","-","-","-","-"
"6","TRANSPORT","Motor Oil (Mobil)","","-","80.00","-","-","-","100.00","-","-","-","94.87","-"
"7","TRANSPORT","Car Washing and Greasing","","-","-","-","-","-","-","-","-","-","-","-"
"8","TRANSPORT","Bus Fare (per km)","T","-",".30","-","-","-","-","-","-","-","-","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","-","-","-","-","-","-","-","-"
"10","TRANSPORT","Taxi Fare ","","-","2.00","-","-","-","-","-","-","-","-","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","-","-","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-","-","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","2.00","-","-","-","-","-","-","-","-","-"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-",".20","-","-","-","-","-","-","-","-","-"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","1.40","1.40","-","-","2.70","-","-","-","2.65","-","2.49"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.30","283.30","-","283.30","283.30","283.30","283.30","283.30","383.33","283.30","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","-","-","2.70","-","-","-","-","-","2.16"
"19","COMMUNICATION","Internet Service","10hrs/m","-","88.00","-","-","-","-","-","-","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","-","5099.02","-","-","-","-","-","-","-","-","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","15.00","15.00","-","-","15.00","13.00","14.49","15.98","15.00","15.00","13.66"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","-","-","-","-","-","-","-","-","-","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","-","-","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","-","7.65","10.00","10.00","11.45","10.00","7.00","7.00","10.00","8.00","-"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","-","-","-","-","-","-","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","1124.72","1232.45","-","-","1148.91","-","-","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","5.00","4.31","-","2.00","5.00","3.00","3.00","2.00","-","-","-"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","5.00","6.00","5.00","4.33","5.00","-","-","5.00","5.00","-","-"
"11","EDUCATION","Pencil (China)","","-","2.00","2.00","-","2.00","-","3.00","4.00","-","3.00","-"
"12","EDUCATION","Ball Point-Bic England","","-","3.48","3.50","3.83","4.16","3.50","3.50","3.00","3.00","4.00","4.00"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","-","-","-","-","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","-","-","-","-","-","-","-","-","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","-","75.00","-","-","-","-","-","-","-","-","-"
"16","EDUCATION","School Uniform Fee ","","-","-","-","-","-","-","-","-","-","-","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","-","-","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","-","8.61","8.61","8.24","7.88","8.24","7.88","7.88","7.88","8.24","-"
"20","PERSONAL CARE","Blade-INDIA","","-","2.00","1.00","2.00","1.00","1.14","1.00","1.00","1.00","1.00","-"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","10.00","10.00","-","8.62","15.00","10.00","10.00","7.65","5.00","5.00","10.00"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","30.00","33.25","-","25.00","25.00","40.00","30.00","13.96","30.00","40.00","28.98"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","5.00","10.00","-","6.00","5.00","7.00","10.00","5.00","5.00","6.48","7.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","25.00","25.00","23.00","24.66","24.00","25.00","23.00","24.99","23.66","25.00","23.98"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","25.00","-","23.00","24.66","24.00","25.00","23.33","27.33","23.33","25.00","25.00"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","100.00","79.70","-","-","96.55","-","-","79.90","90.00","-","-"
"7","P R I C E   I N    B I R R","Perfume  ","1","-","71.63","-","-","41.60","-","-","-","-","-","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","-","33.00","-","-","-","-","-","-","-","-","-"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.00","4.64","2.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","4.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","20.00","19.31","-","18.64","17.00","16.62","15.00","16.98","14.00","16.98","-"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","90.00","70.00","100.00","-","93.22","100.00","79.90","91.64","70.00","102.60","98.13"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","126.58","136.58","140.00","81.63","81.63","150.00","132.99","131.65","146.59","150.00","74.68"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","232.08","206.46","-","-","126.58","220.00","250.00","-","-","-","-"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","-","96.55","-","-","66.49","60.00","59.86","78.30","41.60","59.16","-"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","50.00","48.27","-","-","-","-","-","23.30","-","-","-"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-","-","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-","-","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","-","4600.00","-","-","-","-","-","-","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","-","6900.00","-","-","-","-","-","-","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","-","4600.00","-","-","-","-","-","-","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","-","23000.00","-","-","-","-","-","-","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","512.68","623.00","548.48","641.43","516.14","375.66","409.88","522.93","528.70","223.06","372.48"
"2","LIVESTOCK","Goat (10-15Kg)","","438.99","516.14","472.89","504.89","582.85","391.33","565.30","449.33","463.77","324.69","261.78"
"3","LIVESTOCK","Heifer (2-4 Years)","","1562.98","2032.79","1698.04","2223.98","3761.00","3440.93","1755.00","2363.33","1863.29","1834.17","2621.61"
"4","LIVESTOCK","Cow (4 Years and Above)","","2947.99","3432.02","2998.89","-","5592.38","3500.00","4150.69","3560.68","2105.63","3481.06","4437.15"
"5","LIVESTOCK","Bull (2-4 Years)","","2499.67","2166.15","3499.05","2928.30","4728.90","2924.04","4543.72","2398.61","3199.74","3054.22","3167.34"
"6","LIVESTOCK","Ox (4 Years and Above)","","5823.88","7263.75","5665.29","5797.45","7160.90","5767.19","6867.23","8143.25","4658.50","6957.06","4878.40"
"7","LIVESTOCK","Hen (Indigenous)","","37.28","73.19","34.76","38.26","28.60","43.36","41.21","47.62","38.26","51.30","32.17"
"8","LIVESTOCK","Cock (Indigenous)","","79.90","116.57","73.29","53.28","83.20","79.90","76.52","89.63","64.87","75.33","57.01"
"9","DRAUGHT ANIMALS","Donkey","","-","-","-","-","-","-","-","2129.74","1532.05","2105.00","-"
"10","DRAUGHT ANIMALS","Horse","","-","-","-","-","-","-","-","-","-","2305.00","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","-","-","-","-","-","-","5841.94","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","40.00","33.25","-","35.00","81.63","31.58","31.58","80.66","80.00","30.00","52.44"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","90.00","106.56","-","-","-","84.85","-","104.92","-","-","-"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","150.00","136.58","-","90.00","88.30","87.46","84.90","94.91","76.63","96.55","103.92"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","-","-","35.00","-","-","-","-","-","-","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","-","-","-","-","-","-","-","-","-","-","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","-","-","25.00","-","-","-","-","-","-","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","50.00","48.27","70.00","61.62","-","-","67.45","61.62","69.88","-","-"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","-","-","-","20.00","-","-","-","-","9.28","20.00","-"
