"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","-","18.66","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","36.97","28.00","30.65","40.00","41.60","-","37.61","30.00","43.09","35.52"
"4","OIL SEEDS","Niger Seed","Kg ","11.84","23.46","14.07","15.66","10.27","11.11","15.81","16.00","16.40","20.71"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","34.66","-","-","-","-","-","-"
"6","OIL SEEDS","Linseed Red","Kg ","15.01","16.67","11.84","13.33","9.41","12.91","17.32","16.33","14.76","13.23"
"7","OIL SEEDS","Sesame Seed Red","Kg ","24.00","-","-","28.31","-","-","-","-","-","26.36"
"8","OIL SEEDS","Sunflower","Kg ","8.11","24.50","-","11.32","7.58","7.41","-","-","12.54","8.93"
"9","OIL SEEDS","Castor Beans","Kg ","-","-","11.00","-","-","-","10.37","-","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","5.65","11.37","7.79","8.32","-","11.11","9.84","8.32","14.70","10.66"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","-","-","20.65","15.00","-","-","-","-","25.96","20.00"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","30.00","28.00","30.65","28.00","30.65","29.32","30.65","29.32","24.65","24.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","30.00","28.00","30.65","28.00","28.00","-","30.65","29.32","28.00","27.95"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","18.00","17.00","18.00","17.66","17.66","18.00","18.00","18.00","17.33","16.81"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","2.62","3.00","3.15","2.92","3.94","-","2.48","3.68","4.16","4.07"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","3.29","2.78","2.73","2.81","2.29","5.36","2.24","-","3.60","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","2.84","2.67","2.15","-","-","-","-","-","-","4.58"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","4.21","4.55","4.43","3.97","4.20","3.89","3.50","4.24","4.21","6.34"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","-","4.62","-","-","3.89","4.29","-","5.00","6.00","6.00"
"1","MEAT","Beef ","Kg ","90.00","83.30","80.00","106.56","80.00","60.00","83.20","100.00","100.00","101.83"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","35.21"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-","-","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","-","30.65","-","-","-","-","-","-","29.32","28.95"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","10.42","12.12","9.09","10.00","12.00","-","9.09","11.54","10.00","-"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","-","-","-","-","-","-","-","-","-","-"
