"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","34.76","17.66","29.96","23.31","25.85","28.00","20.65","37.35","30.00","23.66","20.00","19.66"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","20.00","15.66","22.40","-","-","-","-","-","-","18.05","-","18.00"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","13.98","14.00","-","16.29","16.00","16.00","14.00","13.00","19.33","18.64","20.00","15.00"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","14.33","13.00","16.00","22.65","16.66","16.00","15.00","-","-","20.00","16.00","21.66"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","13.28","12.00","-","22.65","15.30","14.66","-","-","-","18.00","-","19.31"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","25.33","24.33","23.00","25.33","24.33","23.33","25.00","30.00","23.33","25.66","23.33","26.33"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","10.66","10.32","-","-","12.32","11.32","-","-","-","-","-","17.49"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","19.31","-","-","-","20.00","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","53.13","63.16","40.00","40.00","43.95","50.00","28.31","49.30","53.28","51.65","60.00","71.63"
"4","OIL SEEDS","Niger Seed","Kg ","-","30.00","-","16.00","-","15.39","30.00","-","15.33","14.88","-","30.65"
"5","OIL SEEDS","Linseed White","Kg ","30.00","-","-","20.00","-","-","-","-","-","-","-","26.66"
"6","OIL SEEDS","Linseed Red","Kg ","28.65","17.66","8.97","16.00","14.66","18.82","16.98","14.33","12.80","15.36","16.33","28.98"
"7","OIL SEEDS","Sesame Seed Red","Kg ","26.66","40.00","-","40.00","33.33","-","-","-","-","-","-","20.00"
"8","OIL SEEDS","Sunflower","Kg ","13.33","16.00","-","14.00","12.97","14.97","12.66","-","15.00","-","-","20.00"
"9","OIL SEEDS","Castor Beans","Kg ","-","9.19","-","10.73","14.51","16.32","-","12.53","11.86","13.69","9.69","-"
"10","OIL SEEDS","Rape Seed","Kg ","16.66","10.00","9.58","15.33","13.86","11.66","15.00","11.29","13.07","12.74","10.66","20.00"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","25.99","24.00","20.33","22.00","21.31","21.00","-","22.66","28.00","24.33","22.00","21.49"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","22.00","-","22.00","29.32","-","-","-","-","30.00","28.66","24.65","24.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","30.00","30.00","-","29.27","30.65","30.00","30.00","-","30.00","28.00","-","32.00"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","16.66","17.00","16.98","16.98","17.00","17.00","17.00","17.00","18.00","18.00","18.00","18.00"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","40.00","-","-","-","-","-","-","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","27.00","-","-","-","-","-","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","4.27","2.57","-","3.21","3.40","-","-","-","3.41","3.47","3.25","3.32"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","4.32","-","3.58","-","-","-","-","-","3.94","3.52","-","2.50"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","3.76","-","-","3.76","2.06","-","-","-","-","2.40","2.84","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","4.20","4.51","4.38","4.20","4.21","4.78","3.70","3.72","5.38","4.72","5.00","4.38"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","4.29","-","4.29","4.29","4.29","4.10","4.00","5.00","5.00","4.29","4.29"
"1","MEAT","Beef ","Kg ","140.00","106.56","100.00","120.00","111.64","140.00","129.74","116.57","126.58","98.30","113.24","100.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-","-","100.00"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","46.61","60.00","-","-","-","-","-","-","-","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","21.31","-","-","31.32","-","-","35.00","-","23.66","-","-","27.50"
