"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"13","CLOTHING","Cotton","Kg ","25.00","36.59","-","45.00","-","-","-","-","-","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","60.00","-","-","-","-","-","-","-","-","-","80.00"
"16","CLOTHING","Kashemire","Meter ","65.98","52.98","-","-","-","-","51.61","-","55.00","-","-","-"
"17","CLOTHING","Deriya","Meter ","42.77","31.58","38.31","53.33","26.10","25.00","22.21","23.33","-","-","31.46","25.00"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","550.00","564.62","-","500.00","748.33","-","-","-","600.00","532.80","600.00","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","300.00","250.00","513.18","253.29","-","-","-","-","250.00","-","-","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","250.00","163.27","-","166.65","-","-","-","-","200.00","-","-","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","253.29","283.06","-","293.18","-","-","-","200.00","-","-","153.26","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","666.65","579.77","406.56","506.58","-","-","-","400.00","633.21","489.93","353.30","-"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","270.00","167.93","-","-","-","-","-","-","-","-","240.00"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","331.41","216.30","153.26","239.57","193.10","176.65","181.65","156.59","229.85","224.96","256.62","239.86"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","291.60","189.82","-","215.44","180.00","166.65","161.65","-","184.95","184.95","212.97","241.66"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","46.61","20.00","23.21","31.58","23.21","20.00","19.31","18.64","20.65","19.66","18.64","30.00"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","269.88","133.25","130.00","-","-","-","-","-","-","-","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","206.46","143.26","-","-","-","-","-","-","-","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","-","-","31.58","26.57","34.32","25.65","21.30","21.54","27.95","30.65","28.23","30.00"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","-","38.26","-","-","-","-","-","-","42.43","38.26","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","444.98","483.17","288.45","416.02","396.64","-","409.92","-","446.64","461.62","443.23","450.00"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","-","-","-","-","-","1870.00"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","-","283.06","516.14","472.89","400.00","-","500.00","-","-","350.00","600.00"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","359.91","426.17","-","293.18","253.03","-","-","-","356.64","-","-","373.30"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","289.89","399.67","-","239.57","-","-","-","-","-","234.96","-","263.29"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","271.66","-","-","-","-","-","-","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","1506.64","1518.87","-","1000.00","1500.00","-","-","-","1474.79","-","-","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","60.00","56.96","48.27","30.65","-","58.48","-","-","39.32","40.00","-","-"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","45.00","-","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","203.28","182.92","126.58","159.40","153.26","154.95","151.54","120.00","143.26","124.93","189.82","216.02"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","526.65","491.10","-","466.08","296.63","330.00","389.91","-","-","-","286.51","369.91"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","624.99","469.51","-","482.74","-","-","409.92","-","539.94","484.97","-","409.88"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","113.24","78.30","71.63","-","130.00","-","106.56","-","-","-","140.00","-"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","139.94","-","-","112.92","68.29","156.65","-","-","203.28","188.23","-","171.65"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","341.61","-","-","241.01","-","-","-","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","-","50.00","28.23","41.60","34.76","34.32","36.59","31.58","38.26","36.59","29.32","41.60"
"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe- mene ","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","115.00","128.65","133.33","143.75","111.64","115.00","96.64","130.00","128.33","133.74","142.50","170.00"
"2","CONSTRUCTION MATERIALS","Lime","","3.00","2.73","-","1.28","3.19","4.80","5.00","4.90","-","-","3.07","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","2.00","1.36","3.31","-","2.72","3.00","4.83","-","2.50","2.17","3.13","3.23"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","35.00","32.93","32.99","35.00","32.66","39.32","-","45.00","30.65","32.66","35.66","35.00"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","55.00","53.28","51.32","69.00","49.32","56.62","-","70.00","50.66","55.00","60.00","55.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","126.64","121.31","130.33","108.00","117.65","119.50","-","110.00","110.00","124.93","120.00","-"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","48.27","30.00","33.31","26.65","58.28","54.85","43.27","-","28.65","22.57","26.57","40.00"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","148.31","108.31","134.33","148.57","118.31","-","150.45","140.00","-","120.00","120.00","62.66"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","256.62","243.32","155.66","250.00","222.67","250.00","243.29","-","272.00","266.50","240.00","260.00"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","375.00","420.00","-","200.00","280.00","-","-","-","-","-","-","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","5.00","5.00","-","5.50","9.15","-","8.00","-","8.50","-","-","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","3.50","5.50","-","4.00","-","-","-","-","5.00","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","156.59","159.99","-","123.24","130.00","172.34","-","171.65","160.00","-","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","309.84","263.04","219.09","-","-","-","-","-","220.00","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","201.57","-","123.31","-","-","-","-","-","174.95","-","-"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","200.00","-","-","-","-","-","-","-","-","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","80.00","-","120.00","-","-","-","-","-","-","110.00","78.00"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","65.00","50.00","-","50.00","-","-","-","-","-","-","-","75.00"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","3533.02","-","-","-","-","-","-","2500.00","-","-","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","130.00","97.14","-","138.31","-","-","-","-","-","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","145.00","106.05","-","148.57","118.31","138.31","152.29","140.00","148.57","-","120.00","135.00"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","151.65","137.65","-","148.57","160.00","-","-","140.00","156.17","-","-","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","249.87","-","-","-","-","-","-","-","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","154.95","174.95","-","-","-","-","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","-","-","219.53","170.00","200.00","256.22","-","-","-","-","230.00"
"26","CONSTRUCTION MATERIALS","Door made of iron","","816.33","1500.00","-","850.00","-","-","-","1148.91","1065.60","-","616.22","950.00"
"1","WATER","Water","Meter ","4.05","4.60","3.00","3.60","8.29","6.90","5.00","-","2.50","3.30","3.50","3.00"
"2","FUEL AND POWER","Fire Wood","Meter ","314.89","216.91","137.40","374.11","249.43","-","385.37","169.57","246.83","164.76","388.16","404.16"
"3","FUEL AND POWER","Charcoal","","5.46","4.69","10.17","3.83","6.33","9.25","8.09","6.32","5.50","6.57","6.12","5.21"
"4","FUEL AND POWER","Dung Cake","","1.76","-","-",".62","-","-","-","-","1.23","-","-","-"
"5","FUEL AND POWER","Kerosine","","13.76","13.94","-","13.83","13.52","13.65","13.40","-","14.12","14.03","14.14","14.32"
"6","FUEL AND POWER","Diesel","","16.82","17.00","-","16.89","16.58","16.60","16.45","-","17.18","17.10","17.20","17.38"
"7","FUEL AND POWER","Electric","",".27",".27","-",".27",".27",".27",".27","-",".27",".27",".27","-"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","631.87","566.67","-","-","-","-","-","-","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","5.00","5.00","5.00","5.00","5.00","5.00","-","-","5.00","5.00","6.00","6.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","683.22","814.33","800.00","-","1500.00","-","1423.02","-","600.00","766.31","616.22","852.85"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","559.94","-","900.00","-","-","-","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","623.00","594.39","374.17","-","273.86","-","564.62","500.00","432.67","550.00","582.85","623.21"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","429.45","-","400.00","-","-","-","-","-","-","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","5331.88","2691.61","3394.11","4500.00","2795.23","3032.97","3898.72","3098.39","4160.17","3783.26","3399.02","3700.00"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","3615.21","1415.31","3898.72","4500.00","2830.62","3000.00","3549.65","3249.62","3000.00","2783.23","2566.23","2495.91"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","14658.97","15615.85","12000.00","12974.31","-","10000.00","12000.00","-","19000.00","-","-","-"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","1232.45","996.66","700.00","1392.48","1216.44","1000.00","1415.31","1449.14","1300.00","-","1265.77","1080.08"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","3331.02","1213.62","2500.00","2500.00","1500.00","-","3000.00","2549.51","1993.31","3000.00","-","2527.48"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","236.65","236.62","220.66","200.00","-","236.62","214.94","-","-","-","339.90","266.62"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","326.66","-","267.33","386.55","-","-","-","-","316.63","-","250.00","346.63"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","724.99","369.38","-","-","-","-","-","-","-","-","-","368.33"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","271.66","298.27","319.33","260.00","304.96","300.00","256.62","260.00","-","-","250.00","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","978.33","1632.66","-","866.35","-","-","969.76","-","1216.44","-","1149.27","-"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","88.30","61.73","168.32","112.92","-","-","-","-","133.25","97.64","-","121.64"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","166.19","156.59","-","98.30","100.00","98.30","80.00","90.00","85.00","97.99","-","84.90"
"8","EARTHEN WARE","Plastic tile","m","58.28","78.30","32.16","58.66","45.66","55.00","-","-","65.00","61.62","52.00","59.66"
"9","EARTHEN WARE","Water Pot","","62.30","31.58","24.31","41.60","-","35.00","-","-","47.62","26.99","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","20.00","25.00","21.63","14.00","29.32","30.00","32.40","26.98","12.32","5.31","26.57","30.00"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","75.00","54.85","99.67","58.28","15.66","45.00","75.00","52.44","99.92","52.29","30.00","50.00"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","114.93","86.53","59.33","78.30","-","58.28","73.29","43.27","75.00","72.46","37.61","91.64"
"13","EARTHEN WARE","Cup for Coffee (China)","","7.00","4.31","7.00","6.00","5.65","6.00","6.00","6.00","6.00","5.66","5.00","6.00"
"14","EARTHEN WARE","Plate Clay (imported)","","25.33","-","-","19.31","28.98","-","-","-","-","-","13.66","20.00"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","37.61","49.83","25.65","45.00","37.28","35.65","29.32","24.66","62.63","61.62","22.33","39.32"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","9.00","10.00","10.00","7.32","10.00","10.00","10.00","11.66","9.00","9.32","9.65","12.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","56.62","41.60","44.32","61.62","61.62","70.00","58.28","-","45.33","43.99","43.99","178.32"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","46.61","31.58","-","35.33","-","40.00","44.32","38.26","42.00","-","37.28","43.99"
"19","METAL WARE","Electric 'Mitad' Aluminium","","1183.10","1165.70","-","1065.60","1200.00","-","-","-","-","-","-","1500.00"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","143.31","153.26","-","146.59","143.26","156.65","156.59","180.00","148.31","142.48","161.65","140.00"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","220.00","-","-","200.00","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","6991.23","-","-","7598.70","7000.00","-","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","24.33","24.66","-","-","-","-","-","-","-","-","-","25.00"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","40.00","40.00","40.66","38.00","45.00","40.00","43.66","50.00","45.33","44.66","37.97","40.00"
"6","GLASS WARE","Glass for Tea (Duralex)","","7.50","7.00","-","7.00","-","7.00","10.00","-","7.00","7.00","12.32","7.32"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","81.63","35.00","-","65.00","-","-","-","-","-","-","85.53","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","3.00","4.00","-","3.00","-","4.00","4.83","5.31","2.00","3.00","4.64","2.00"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","31.58","28.23","25.65","18.64","-","-","22.99","20.00","18.97","17.49","-","25.00"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","15.00","12.66","11.00","12.00","11.66","10.66","13.00","15.00","12.32","12.66","15.00","15.00"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","6.83","-","7.00","5.83","-","-","-","-","-","-","-","-"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","10.32","11.00","10.48","9.57","-","-","-","-","-","-","11.00","10.00"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","-","-","3.75","2.50","3.33","4.17","4.58","-","-","4.17","-","-"
"14","HOUSEHOLD OPERATION","Incense","","71.63","80.00","-","60.00","80.00","150.00","-","-","55.66","67.45","-","60.00"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50","1.00",".35",".75",".50",".50",".50",".50",".50",".50","1.00",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","7.96","9.00","9.00","9.00","9.32","10.00","9.00","8.00","9.00","9.32","10.00","10.00"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.16","2.25","-","2.25","2.24","2.25","2.50","-","2.25","2.25","2.08","2.00"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","30.00","40.00","-","32.40","40.00","-","-","-","30.00","-","40.00","-"
"2","DOMESTIC SERVICE","Maid Servant","M","315.82","416.02","156.39","215.44","193.10","193.10","300.00","-","347.60","283.06","232.08","265.66"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","50.00","30.00","36.59","36.59","60.00","70.00","53.13","63.16","29.72","30.00","50.00","43.27"
"4","DOMESTIC SERVICE","Salary for Guard ","M","416.02","531.33","-","250.00","-","-","-","-","-","-","200.00","293.18"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","24.23","25.10","-","24.00","52.20","41.91","23.76","38.80","39.20","-","28.00","56.00"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","-","24.25","22.40","22.40","22.40","22.40","22.40","28.00","22.40","22.40","25.99","22.40"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","7.82","7.49","7.00","6.65","7.65","8.96","7.49","7.27","8.14","8.00","7.00","5.65"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","20.30","26.42","30.71","31.71","20.95","-","39.20","28.00","39.20","30.67","22.40","27.62"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.00","4.00","4.00","4.00","3.63","4.00","2.66","3.30","4.00","4.00","4.00","4.00"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","19.98","18.00","20.00","20.00","19.31","19.49","21.00","20.00","24.00","23.21","17.33","-"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","9.00","11.20","10.43","10.90","10.39","9.00","8.47","7.35","10.39","10.90","12.00","12.00"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","-","3.87","4.80","3.00","3.63","4.00","6.00","3.30","3.63","5.00","4.00","3.30"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","8.47","8.47","9.73","8.47","9.32","9.00","9.00","10.39","9.91","10.90","12.00","9.91"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","-","4.00","3.00","-","3.63","-","-","-","4.00","4.00","4.00","4.00"
"15","MEDICAL CARE","Insulin(Lente)","Butt","65.00","-","-","75.00","-","-","-","-","72.46","65.00","-","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","13.86","16.42","15.73","16.00","14.91","16.00","16.00","16.00","16.00","16.00","16.00","15.45"
"17","MEDICAL CARE","Magnesium Oxide","30 P","-","6.00","-","3.93","5.45","8.22","4.50","6.00","6.00","6.00","6.00","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","1.67","-","-","-","-","-","-","-","-","1.67","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","10.00","5.00","7.00","5.00","15.00","5.00","7.00","5.00","5.00","4.00","5.00","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","40.00","22.89","-","20.00","22.89","-","15.00","-","14.42","14.14","10.00","12.60"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","2.00","3.00","1.00","3.00","2.00","1.00","2.00","1.00","2.00","1.00","2.00","2.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","10.00","10.00","-","7.32","10.00","5.00","10.00","-","8.00","7.11","5.00","7.49"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","15.00","-","-","30.00","15.00","-","12.00","-","13.00","-","10.00","15.00"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","73.29","70.00","-","53.13","150.00","-","-","-","75.00","-","70.00","70.00"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","80.00","78.30","-","45.00","25.00","-","-","-","-","-","20.00","-"
"5","TRANSPORT","Benzene","","19.12","19.30","-","19.19","18.88","-","18.75","-","19.48","-","19.50","-"
"6","TRANSPORT","Motor Oil (Mobil)","","84.50","83.10","-","82.33","83.00","-","84.00","-","92.33","83.00","86.64","65.00"
"7","TRANSPORT","Car Washing and Greasing","","65.66","53.13","-","62.14","60.00","-","-","-","80.00","-","-","50.00"
"8","TRANSPORT","Bus Fare (per km)","T",".36",".28","-",".36",".29","-","-","-",".30","-",".29",".30"
"9","TRANSPORT","Bus Fare (within Town) ","","1.00","-","-","-","-","-","-","-","-","-","-","-"
"10","TRANSPORT","Taxi Fare ","","1.75","-","-","1.50","1.50","2.00","3.00","-","-","-","2.00","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","-","-","-","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","28.23","25.00","-","-","-","-","-","46.61","50.00","-","-"
"13","TRANSPORT","Cart Fare","","2.29","2.00","4.00","2.00","-","2.00","-","-","3.00","3.00","-","2.00"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-",".20","-",".20","-","-",".20",".20",".20","-","-","-"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","1.38","1.39","4.20","1.40","4.20","-","2.16","2.16","3.00","4.14","-","-"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.30","283.30","-","283.30","283.30","283.30","283.30","-","283.30","283.30","-","-"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","568.18","-","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","-","-","2.16","2.16","2.16","2.16","-","2.49","-","-"
"19","COMMUNICATION","Internet Service","10hrs/m","-","69.00","-","-","-","-","-","-","-","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","4483.27","4833.10","-","4566.42","-","-","-","-","4824.94","-","-","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","12.00","9.00","14.00","12.00","15.00","15.00","15.00","15.00","14.66","14.00","12.00","13.00"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","410.00","-","-","-","550.00","-","-","-","-","384.97","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","438.25","-","-","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","10.00","6.00","10.00","8.00","15.00","15.00","10.00","10.00","-","12.00","10.00","10.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","4.00","5.00","-","3.00","-","-","-","-","3.00","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","25.00","-","-","20.00","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","-","-","-","-","-","750.00","-","-","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","3.00","3.00","3.63","2.00","3.00","5.00","5.00","5.00","3.30","3.00","3.00","3.56"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","6.33","6.50","6.00","7.00","-","-","-","-","-","-","5.00","-"
"11","EDUCATION","Pencil (China)","","2.00","2.00","1.50","2.00","2.00","2.00","2.00","1.00","2.00","2.00","2.00","2.50"
"12","EDUCATION","Ball Point-Bic England","","3.00","3.00","3.83","3.00","4.00","4.00","4.00","2.82","4.00","4.00","4.00","4.50"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","45.00","-","-","-","-","-","-","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","217.60","-","-","-","-","-","-","-","-","-","-","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","35.00","-","-","-","50.00","-","-","-","-","-","-","-"
"16","EDUCATION","School Uniform Fee ","","224.96","-","-","-","229.42","-","266.62","-","200.00","-","-","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","53.28","-","-","-","-","-","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","70.00","65.00","-","35.00","35.00","-","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","7.69","7.88","7.88","7.81","7.69","7.88","8.24","9.00","7.88","7.88","7.88","6.75"
"20","PERSONAL CARE","Blade-INDIA","","1.00","1.00","1.25","1.00","-","-","-","-","1.00","1.00","1.00","1.31"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","23.21","10.63","15.00","10.00","15.00","15.00","10.00","-","10.00","10.00","11.45","10.00"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","23.21","30.00","25.00","20.00","28.23","30.00","25.00","-","25.00","25.00","46.42","33.25"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","12.00","7.00","5.00","10.00","7.65","8.00","10.00","10.00","10.00","6.00","10.00","7.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","23.30","23.00","22.00","22.33","21.66","22.00","22.33","23.00","25.66","25.66","23.66","25.00"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","23.99","23.00","22.00","22.33","21.66","-","20.33","23.00","26.40","26.03","-","25.00"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","100.00","-","-","-","72.46","69.88","122.47","-","75.00","90.00","-","-"
"7","P R I C E   I N    B I R R","Perfume  ","1","58.28","-","-","58.28","40.99","35.99","42.43","-","53.28","50.00","-","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","29.14","23.00","-","29.70","30.76","32.44","33.54","-","29.14","29.70","37.95","29.70"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.00","3.00","3.00","3.00","3.00","3.00","2.29","3.00","3.00","3.00","4.00","3.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","-","-","14.33","-","14.66","16.33","15.00","20.00","16.66","15.98","19.31","15.00"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","-","80.00","135.66","76.63","-","68.29","91.64","-","65.98","75.31","76.97","71.63"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","126.64","123.24","103.23","71.63","111.64","116.64","108.31","80.00","124.93","116.57","63.29","124.93"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","333.10","212.97","-","269.62","189.82","216.65","-","244.95","209.84","224.96","176.60","286.63"
