"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welayita sodo ","Bodite","Jinka","Dimeka","Masha","Tepi","Boniga","Chana","Arbam- minch ","Sawla"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","14.00","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","70.00","74.01","42.43","-","43.27","35.00","65.66","60.00","67.75","40.00"
"4","OIL SEEDS","Niger Seed","Kg ","15.66","-","30.00","-","22.00","18.64","22.33","-","20.00","-"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","-","-","-","21.91","-"
"6","OIL SEEDS","Linseed Red","Kg ","15.33","19.31","-","-","20.98","18.64","22.49","20.00","15.33","15.94"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","6.99","8.70","25.33","-","38.99","-","17.24","-"
"8","OIL SEEDS","Sunflower","Kg ","16.00","14.97","19.31","5.77","-","18.64","20.00","-","15.33","-"
"9","OIL SEEDS","Castor Beans","Kg ","10.00","-","14.39","-","-","-","-","12.60","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","11.66","12.32","29.32","13.67","12.00","11.66","16.00","20.00","12.93","13.21"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","24.33","22.98","15.63","-","20.00","-","-","-","21.31","23.64"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","30.00","24.43","24.00","26.00","26.00","24.00","29.32","24.00","24.00","23.31"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","29.32","32.64","30.00","37.95","30.00","35.32","-","-","27.32","30.00"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","17.00","17.81","18.64","20.00","18.00","18.00","18.00","20.00","17.66","17.33"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","40.00","-","-","-","-","-","50.00","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","22.50","-","-","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","-","-","4.83","-","3.48","3.02","-","-","3.36","-"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","3.00","-","-","-","2.76","-","-","-","3.50","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","3.09","-","-","-","-","-","3.04","-","-","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","5.53","3.63","4.82","5.19","3.63","5.00","3.46","3.39","3.76","7.02"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","6.00","-","-","-","4.29","4.29","4.29","4.29","-","-"
"1","MEAT","Beef ","Kg ","120.00","109.70","120.00","92.47","70.00","80.00","96.55","70.00","120.00","119.72"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-","-","-","47.44","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","30.00","-","30.00","-","-","30.00","-","-","42.00","26.83"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","10.00","-","14.71","8.15","11.08","12.00","12.12","6.00","14.29","-"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","24.00","-","-","-","-","-","-","-","20.65","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","106.88","104.03","121.67","135.00","112.50","121.85","-","-","106.88","95.63"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","16.67","14.29","14.29","22.22","27.78","40.00","28.00","13.51","25.27","19.35"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","27.39","24.79","21.81","-","19.97","16.28","24.16","15.95","21.75","-"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","26.67","24.00","24.00","15.68","30.00","30.00","24.00","24.00","27.00","-"
"13","OILS AND FATS","Butter Unrefined","Kg ","120.00","113.31","76.52","66.99","100.00","126.58","143.26","110.00","120.00","98.30"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","24.22","25.00","25.00","27.00","25.67","26.00","-","-","24.33","25.00"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","49.32","-","-","-","-","-","-","-","-","-"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","94.44","92.55","90.70","-","-","-","100.00","100.00","90.70","94.40"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","2.73","2.67","2.66","1.94","2.90","3.90","2.21",".87","2.48","2.97"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","4.04","2.44","2.76","5.75","1.54","6.50","6.57","2.75","3.97","2.41"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","-","-","-","-","-","-","-","-","16.68","-"
"4","VEGETABLES (FRESH)","Spinach","Kg ","5.71","-","-","-","-","-","-","-","9.35","-"
"5","VEGETABLES (FRESH)","Carrot","Kg ","3.63","4.00","7.00","-","7.46","9.87","8.77","5.41","7.00","9.33"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","18.00","25.00","25.00","15.00","12.43","12.00","-","-","17.33","11.96"
"7","VEGETABLES (FRESH)","Onions","Kg ","10.66","12.97","12.00","15.00","16.49","15.63","19.36","15.99","12.00","12.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","20.65","20.00","26.57","55.61","60.63","19.24","29.42","19.01","23.00","18.64"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","-","-","-","-","-","-","9.75"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","15.00","14.39","16.30","8.35","9.38","16.70","16.14","11.16","11.66","10.43"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-",".84","3.04","2.70","2.18","1.20","3.51","-","2.23"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","15.00","-","-","-","-","-","-","-","15.00","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","3.63","3.91","8.92","4.20","3.21","3.92","5.49","4.98","5.00","9.83"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","10.00","10.00","4.89","3.66","5.67","2.75","7.79","5.56","3.95","7.75"
"16","FRUITS FRESH","Orange","Kg ","22.49","-","11.44","-","2.42","4.00","5.72","4.77","-","5.58"
"17","FRUITS FRESH","Lemon","Kg ","9.11","8.85","9.71","-","15.48","4.85","6.88","14.39","6.26","6.62"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","7.84","-","4.59","3.17","-","1.57","3.90","1.56","4.08","1.52"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","6.26","6.40","19.26","-","4.81","4.26","2.78","2.23","7.58","6.07"
"22","FRUITS FRESH","Mango","Kg ","6.45","7.73","2.33","-","1.42","1.84","4.88","2.63","3.85","3.34"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","-","-","-","-","-","-"
"1","SPICES","Pepper Whole","Kg ","33.33","32.66","45.00","-","-","30.00","25.00","26.00","36.32","-"
"2","SPICES","Black Pepper(Local)","Kg ","246.62","-","180.00","-","-","-","300.00","-","200.00","224.94"
"3","SPICES","Long Pepper(Local)","Kg ","-","-","70.00","-","-","60.00","-","-","-","65.00"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","20.00","36.42","30.00","50.00","36.59","29.32","40.00","50.00","24.00","27.59"
"5","SPICES","Black Cumin(Local)","Kg ","22.66","36.21","30.00","50.00","36.59","29.32","49.32","50.00","30.00","27.59"
"6","SPICES","Ginger Dry(Local)","Kg ","-","-","-","-","-","25.00","-","-","-","-"
"7","SPICES","Ginger Wet(Local)","Kg ","7.65","8.87","12.50","-","-","-","-","-","6.00","-"
"8","SPICES","Cloves(Imported)","Kg ","280.00","-","340.00","-","-","320.00","400.00","400.00","336.43","314.64"
"9","SPICES","Cinnamon(Imported)","Kg ","66.63","-","82.46","-","-","68.29","150.00","100.00","71.63","64.87"
"10","SPICES","Cardamon(Local)","Kg ","116.57","-","103.23","-","80.00","91.64","83.99","-","120.00","95.00"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","-","-","-","-","-","-","-","-","15.00"
"12","SPICES","Chillies Whole","Kg ","53.28","-","-","-","-","-","50.00","-","50.00","-"
"13","SPICES","Basil Dry","Kg ","25.96","36.21","14.29","-","-","23.31","28.00","20.00","40.00","-"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","4.00","5.31","5.65","9.87","3.66","3.18","5.12","4.56","4.00","2.87"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","3.88","2.00","2.12","3.83","4.13","-","2.23","2.41","1.80","1.87"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","-","4.14","8.01","-","2.62","7.12","6.88","2.82","8.77","-"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","37.06","-","32.40","-","7.43","11.48","-","-","11.11","20.15"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","11.25","11.77","11.60","16.25","10.00","10.00","10.32","10.00","11.20","10.40"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","-","-","14.64","-","-","19.00","14.00","24.33","-","23.12"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","-","64.56","41.60","52.44","50.00","46.66","41.32","50.00","55.00","54.23"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","4.80","-","-","10.00","-","-","13.05","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","-","-","-","-","-","9.38","-","10.73","20.00","9.69"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","-","-","-","38.77","38.54","-","60.04","57.81","47.63","50.36"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","19.16","11.11","-","-","19.21","16.37","11.30","10.44","-","-"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","14.76","10.94","10.67","-","-","-","12.61","-","-","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","5.00","4.48","6.00","6.00","6.00","6.00","5.00","6.00","5.00","5.00"
"4","OTHER FOOD ITEMS","Sugar","Kg ","14.50","-","16.00","18.00","17.00","17.00","-","17.35","15.00","-"
"5","OTHER FOOD ITEMS","Honey","Kg ","52.44","40.00","41.60","-","52.29","55.00","59.33","60.00","-","-"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","23.31","26.54","27.83","-","20.65","24.31","23.49","-","22.00","12.00"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","105.00","-","140.00","-","105.00","105.00","140.00","-","80.13","-"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","2.00","1.50","1.00","1.00","1.00","2.00","2.00","1.14","2.00","1.59"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","4.00","3.48","2.74","2.62","2.00","3.50","6.00","2.00","3.91","3.74"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","5.31","4.00","5.00","-","4.00","5.00","7.00","5.00","5.00","5.00"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","25.13","26.57","21.31","20.95","20.66","-","-","22.00","27.39","25.00"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","25.13","-","21.31","20.95","20.66","25.96","29.58","20.65","30.00","25.00"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","34.76","-","27.00","25.96","25.33","30.49","47.43","25.00","40.00","30.00"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","14.30","12.32","13.98","14.33","11.60","17.93","23.21","12.32","19.57","12.93"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","25.13","-","25.00","20.00","25.00","25.96","35.24","20.65","30.00","25.00"
"16","COST OF MILLING","Cereals","100Kg ","40.00","30.00","40.00","-","40.00","35.00","30.00","35.00","35.00","50.00"
"17","COST OF MILLING","Pulses","100Kg ","50.00","50.00","40.00","80.00","80.00","30.00","50.00","70.00","35.00","50.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","200.00","200.00","173.21","-","200.00","150.00","200.00","200.00","120.00","-"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","7.65","7.16","10.53","-","10.00","8.62","10.00","9.00","9.77","8.76"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","6.50","8.96","11.29","10.00","10.00","10.00","12.00","10.00","8.65","10.00"
"3","BEVERAGES - NON ALCOHOLIC","Coca Cola/Fanta","300cc ","7.65","7.16","8.96","10.00","10.00","8.62","10.00","9.00","8.62","8.00"
"4","BEVERAGES - NON ALCOHOLIC","Pepsi Cola/Mirinda","300cc ","7.65","7.16","8.96","10.00","10.00","8.62","10.00","9.00","8.62","8.00"
"5","BEVERAGES - ALCOHOLIC","Araki (Local)","900cc ","65.89","69.22","86.60","-","94.66","88.30","90.00","100.00","60.00","80.00"
"6","BEVERAGES - ALCOHOLIC","Cognac (Local)","900cc ","65.89","69.22","90.86","-","-","-","-","-","60.00","-"
"7","BEVERAGES - ALCOHOLIC","Brandy (Local)","900cc ","65.89","-","-","-","-","-","-","-","60.00","-"
"8","BEVERAGES - ALCOHOLIC","Gin (Local)","900cc ","65.89","69.22","90.86","-","94.66","88.30","90.00","100.00","60.00","-"
"9","BEVERAGES - ALCOHOLIC","Saris Wine (Normal)","750cc ","46.61","48.27","50.00","-","60.00","65.00","71.63","60.00","43.09","30.00"
"10","BEVERAGES - ALCOHOLIC","'Katikalla'","Lt ","30.00","27.33","32.61","-","33.71","24.00","35.00","30.34","-","20.59"
"11","BEVERAGES - ALCOHOLIC","Beer (Bedele)","330cc ","12.66","-","13.00","12.00","10.00","12.00","13.93","11.00","14.00","-"
"12","BEVERAGES - ALCOHOLIC","Beer (Harar)","330cc ","12.66","12.32","13.00","12.00","-","-","13.93","-","12.97","11.49"
"13","BEVERAGES - ALCOHOLIC","Beer (Meta Abo)","330cc ","12.66","12.32","13.00","-","-","12.32","13.93","11.00","12.97","12.00"
"14","BEVERAGES - ALCOHOLIC","'Tella'","Lt ","3.75","-","3.26","3.90","5.62","3.53","3.53","3.37","3.26","4.00"
"15","BEVERAGES - ALCOHOLIC","'Tej' (Mead)","Lt ","7.50","5.77","16.30","10.87","11.24","13.00","11.24","6.74","8.00","6.28"
"16","CIGARETTES","Nyala","Packet ","10.00","10.63","15.00","13.33","10.00","13.33","10.00","10.00","10.00","10.00"
"17","CIGARETTES","Gissila","Packet ","-","-","-","-","-","-","-","-","-","-"
"18","CIGARETTES","Rothmans/England/","Packet ","-","-","-","-","-","-","-","-","30.00","30.00"
"19","CIGARETTES","Marlboro","Packet ","-","-","-","-","-","-","-","-","30.00","-"
"1","TOBACCO","'Gaya'","Kg ","42.89","-","-","-","43.30","40.00","-","-","-","-"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","-","-","-","-","-","25.00","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","24.31","25.00","38.31","-","-","43.27","35.00","40.00","28.60","-"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","-","-","-","-","-","-","-","-","77.46","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","-","-","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","65.00","-","-","-","-","-","104.88","-","75.00","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","49.32","-","-","-","-","70.00","67.45","50.00","46.61","54.77"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","-","-","-","-","-","38.99","40.00","25.00","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","-","-","-","-","68.50","-"
"12","CLOTHING","Jersi","Meter ","48.00","-","-","-","-","-","83.49","-","60.00","-"
"13","CLOTHING","Cotton","Kg ","19.31","16.33","-","-","-","35.00","-","-","20.30","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","-","-","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","-","-","-","-","85.00","-","-","-"
"17","CLOTHING","Deriya","Meter ","-","-","-","-","-","46.67","-","-","30.00","33.33"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","500.00","-","-","-","-","800.00","574.46","-","582.85","500.00"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","200.00","-","-","-","-","400.00","300.00","-","159.40","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","-","-","-","-","-","200.00","-","-","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","-","-","180.00","-","-","-","-","-","148.20","166.19"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","443.23","400.00","-","-","-","600.00","-","-","259.62","389.87"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","-","-","-","-","-","194.94","-","-","205.77"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","250.00","182.92","200.00","250.00","153.26","253.29","256.62","200.00","222.40","155.77"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","253.29","180.00","169.39","-","146.59","173.07","203.28","-","200.00","-"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","25.96","20.00","28.23","-","20.00","25.00","33.25","20.00","23.21","20.80"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","300.00","-","-","-","-","300.00","-","214.48","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","-","-","-","-","-","250.00","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","25.96","27.26","37.61","-","30.00","-","50.00","35.00","-","-"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","-","-","-","70.00","52.44","53.28","88.30","60.00","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","439.77","350.00","393.22","439.89","350.00","476.22","453.31","-","416.02","365.93"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","700.00","-","500.00","-","500.00","382.59","-","300.00","724.98","385.36"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","-","-","189.74","-","-","-","350.00","-","394.97","-"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","-","-","200.00","-","-","-","300.00","-","160.00","-"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-","353.30","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","1500.00","1300.00","-","-","-","-","-","-","-","1300.00"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","49.32","38.62","60.00","-","53.28","54.77","63.29","-","50.00","70.00"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","889.94","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","163.27","169.71","150.00","184.93","154.92","123.24","156.59","120.00","200.00","132.99"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","-","300.00","350.00","-","350.00","-","-","-","424.26","400.00"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","-","-","365.93","-","-","-","553.31","350.00","432.67","-"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","-","-","-","-","-","160.00","-","-","80.00","-"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","200.00","-","-","-","-","-","68.29","-","46.61","-"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","350.00","-","-","-","234.95","-","300.00","-"
