"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welayita sodo ","Bodite","Jinka","Dimeka","Masha","Tepi","Boniga","Chana","Arbam- minch ","Sawla"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","35.97","40.00","41.60","48.27","26.57","25.96","51.61","40.00","50.00","41.21"
"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welayita sodo ","Bodite","Jinka","Dimeka","Masha","Tepi","Boniga","Chana","Arbam- minch ","Sawl"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","149.91","131.65","166.58","-","150.00","145.00","156.65","175.00","144.10","143.26"
"2","CONSTRUCTION MATERIALS","Lime","","-","-","-","-","-","-","-","-","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","1.74","2.78","3.00","4.00","4.00","3.86","2.72","3.60","2.19","2.40"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","35.59","33.97","40.00","40.00","39.32","40.00","40.00","40.00","36.59","38.26"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","65.86","51.65","58.64","80.00","60.66","60.00","60.00","70.00","59.86","58.28"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","128.00","123.00","115.66","-","130.00","119.33","120.66","125.00","118.66","105.00"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","-","-","17.54","37.42","21.54","27.59","15.33","19.31","24.66","23.96"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","138.00","140.00","148.57","-","140.00","140.00","130.00","140.00","-","142.78"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","263.52","260.00","246.62","-","250.00","243.32","250.00","250.00","246.62","259.87"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","-","-","500.00","470.00","-","-","468.75","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","7.75","-","13.00","-","20.00","-","-","-","9.49","-"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","-","-","-","-","-","-","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","-","-","84.90","-","-","-","-","-","-","-"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","250.00","-","-","-","-","-","239.79","224.94"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","168.32","170.00","50.00","-","-","-","-","-","176.60","166.19"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","-","-","-","-","-","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","58.28","-","-","-","-","71.66","75.00","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","-","-","-","-","-","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-","-","-","5500.00","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","-","-","-","116.67","-","-","150.00","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","138.00","140.00","142.86","-","-","-","-","-","-","142.78"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","141.89","-","-","-","-","245.00","-","-","130.00","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","-","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","-","-","-","-","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","244.95","-","-","-","-","-","-","-","233.00","229.58"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","-","-","1500.00","2000.00","-","2000.00","800.00","-"
"1","WATER","Water","Meter ","3.79","3.50","5.00","8.00","4.00","4.00","2.50","5.00","3.00","3.00"
"2","FUEL AND POWER","Fire Wood","Meter ","199.57","222.69","453.76","-","136.78","168.70","158.56","262.08","315.77","252.63"
"3","FUEL AND POWER","Charcoal","","4.14","3.61","11.12","7.93","6.86","5.15","6.45","3.53","7.70","5.53"
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","14.07","14.14","14.40","-","-","14.46","14.38","-","14.18","14.20"
"6","FUEL AND POWER","Diesel","","17.13","17.17","17.46","-","-","17.52","17.34","-","17.24","17.27"
"7","FUEL AND POWER","Electric","",".27",".27",".27","-",".27",".27",".27",".27",".27",".27"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","-","-","-","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","5.50","-","6.00","6.00","6.00","5.00","6.00","5.00","5.16","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","624.50","-","459.79","-","800.00","800.00","924.66","-","548.48","894.43"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","250.00","-","800.00","716.28","-","600.00","-","250.00"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","300.00","-","225.72","-","250.00","253.29","-","150.00","200.00","172.13"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","93.22","83.09","-","250.00","193.10","250.00","-","-","96.55"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","2371.71","-","1948.29","-","-","4827.45","5000.00","5000.00","3466.34","2745.72"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","3000.00","-","1549.46","-","3000.00","3016.57","2749.55","3000.00","2257.18","2345.21"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","9000.00","-","12490.00","-","-","22494.44","20000.00","-","13000.00","15968.72"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","-","-","864.46","-","1549.19","1324.76","1048.81","1300.00","1095.45","1392.48"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","1850.00","-","1898.24","-","3500.00","2766.26","4049.69","4200.00","2566.23","2663.71"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","230.00","-","315.82","-","-","-","-","-","230.00","-"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","350.00","-","-","-","329.70","352.74","353.30","300.00","404.72","-"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","424.26","-","-","-","350.00","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","250.00","-","279.52","-","320.00","323.30","306.52","300.00","280.00","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","1050.00","800.00","1200.00","-","1200.00","1100.00","-","-","774.60","1249.00"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","72.46","-","-","-","90.00","90.00","-","-","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","115.00","-","116.57","-","-","123.31","-","-","41.08","-"
"8","EARTHEN WARE","Plastic tile","m","56.62","67.45","55.33","-","65.00","55.00","80.00","60.00","61.62","59.86"
"9","EARTHEN WARE","Water Pot","","23.96","-","30.49","-","26.46","32.60","57.45","30.00","-","10.66"
"10","EARTHEN WARE","'Jebena' Medium Size","","10.80","-","10.63","-","11.29","16.29","35.00","35.00","35.00","-"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","50.00","-","51.30","-","-","80.00","74.89","40.00","56.62","41.60"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","120.00","-","-","-","68.29","-","98.30","-","98.30","50.00"
"13","EARTHEN WARE","Cup for Coffee (China)","","4.33","4.00","5.48","6.65","6.65","6.00","6.00","6.00","4.50","5.65"
"14","EARTHEN WARE","Plate Clay (imported)","","27.50","-","-","-","-","-","-","-","25.00","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","45.98","37.61","59.86","-","38.26","37.61","33.25","40.00","38.26","40.00"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","10.00","8.62","9.65","10.00","10.00","10.00","10.00","8.00","8.00","8.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","40.00","53.28","74.89","99.67","65.30","58.28","59.33","70.00","65.00","79.90"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","36.65","-","41.60","-","-","40.00","40.00","-","45.00","-"
"19","METAL WARE","Electric 'Mitad' Aluminium","","1174.73","-","-","-","1374.77","-","1500.00","-","1500.00","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","125.00","-","149.78","140.00","134.91","140.00","-","170.00","148.31","134.91"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","154.92","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","7200.00","-","-","-","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","46.98","42.62","41.60","60.00","40.00","40.00","43.98","40.00","41.98","38.89"
"6","GLASS WARE","Glass for Tea (Duralex)","","11.66","15.50","8.49","-","12.00","7.00","-","-","-","-"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","-","-","-","-","-","-","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","-","2.00","-","-","-","5.00","5.00","5.00","2.74","2.00"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","-","23.00","-","-","-","-","-","-","-"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","12.00","12.00","13.33","-","12.00","11.29","15.00","15.00","13.98","12.97"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","8.00","-","4.49","-","-","-","-","-","-","-"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","-","-","-","-","12.00","10.43","-","-","12.00","11.32"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","2.50","-","3.33","-","5.00","3.00","-","5.00","5.00","4.11"
"14","HOUSEHOLD OPERATION","Incense","","80.00","-","81.63","-","47.43","44.50","-","60.00","100.00","80.00"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".57","-",".56",".75",".50",".50","-",".50",".50",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","9.32","9.86","10.12","10.00","9.65","10.00","10.00","10.00","9.32","8.65"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.33","2.56","2.62","2.50","2.50","2.50","2.50","2.50","2.33","2.33"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","30.00","25.00","-","-","-","35.00","-","-","41.60","40.00"
"2","DOMESTIC SERVICE","Maid Servant","M","114.47","-","246.62","189.82","275.89","181.71","195.74","150.00","181.71","112.92"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","50.00","38.26","37.61","40.00","38.26","34.76","38.26","27.39","38.26","35.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","-","-","-","-","250.00","-","-","-","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","36.98","31.64","34.29","56.00","-","-","45.33","-","29.04","33.60"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","19.47","21.31","22.65","-","28.65","26.99","32.27","18.97","21.17","28.00"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","7.88","7.32","7.77","12.25","10.00","11.29","10.63","12.00","6.95","6.48"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","40.39","35.99","36.00","-","40.99","32.27","35.50","-","37.57","33.60"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.00","4.00","4.00","4.00","4.00","5.24","4.00","4.00","3.63","3.46"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","-","20.00","20.33","27.39","25.00","29.32","24.33","-","18.98","-"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","9.32","10.68","13.10","21.21","12.86","13.61","15.00","9.00","8.65","11.62"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","3.63","3.63","4.58","6.00","5.65","4.00","4.31","6.00","4.76","4.00"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","9.00","9.02","13.19","-","14.29","-","12.93","-","9.91","12.00"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","3.30","4.00","-","4.00","5.24","5.24","4.00","4.00","4.16","4.00"
"15","MEDICAL CARE","Insulin(Lente)","Butt","74.83","-","-","-","-","-","-","-","85.00","-"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","15.43","16.20","14.84","-","22.22","22.58","19.46","24.00","18.32","16.00"
"17","MEDICAL CARE","Magnesium Oxide","30 P","5.45","6.00","8.01","-","9.00","11.29","6.00","-","6.00","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","6.32","-","10.00","5.00","5.00","5.00","7.00","-","5.00","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","17.32","15.00","-","-","-","10.00","10.00","10.00","11.45","20.00"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","1.82","3.00","2.00","2.00","1.00","2.00","1.00","1.00","2.00","1.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","10.00","5.00","5.00","5.00","10.00","9.28","20.00","5.00","8.88","20.00"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","35.00","10.00","25.00","10.00","-","-","17.00","-","20.00","12.00"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","85.00","-","-","-","-","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","50.00","-","-","-","-","-","-","-","50.00","-"
"5","TRANSPORT","Benzene","","19.43","-","19.76","-","-","-","-","-","19.54","19.57"
"6","TRANSPORT","Motor Oil (Mobil)","","82.00","86.50","100.00","120.00","-","85.00","80.00","-","95.92","85.00"
"7","TRANSPORT","Car Washing and Greasing","","-","-","-","-","-","-","-","-","65.00","-"
"8","TRANSPORT","Bus Fare (per km)","T","-","-",".29","-","-",".30",".30","-",".28","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","-","-","-","-","-","-","-"
"10","TRANSPORT","Taxi Fare ","","2.00","-","-","-","-","-","2.00","-","1.50","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","-","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","63.16","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","-","-","-","-","2.00","-","-","-","-"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-","-","-","-",".20",".20",".20",".20","-","-"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","-","-","-","-","1.40","1.40","1.40","1.40","-","-"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.30","-","283.30","-","283.30","283.30","283.30","283.30","283.30","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","2.46","2.16","2.55","-","-","-","-","-","-","-"
"19","COMMUNICATION","Internet Service","10hrs/m","-","-","-","-","-","88.00","88.00","-","-","-"
"1","EQUIPMENT AND ACCESSORIES","T","","5000.00","-","5550.00","-","-","5900.00","4800.00","-","4983.28","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","13.00","15.00","11.29","-","15.00","15.00","15.00","15.00","-","12.93"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","-","-","-","-","-","-","-","-","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","-","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","7.27","6.32","10.00","-","10.00","8.00","-","8.00","8.00","8.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","-","-","-","-","-","-","3.00","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","1050.00","-","1149.27","-","-","-","1100.00","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","4.64","2.45","5.00","-","5.00","3.00","3.00","5.00","3.00","4.64"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","-","-","-","-","5.65","-","5.00","5.00","-","-"
"11","EDUCATION","Pencil (China)","","2.00","2.00","2.00","-","2.50","2.00","2.82","2.00","2.15","2.00"
"12","EDUCATION","Ball Point-Bic England","","3.50","4.00","3.00","3.00","3.83","4.00","4.00","4.00","3.23","3.00"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","-","-","-","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","-","-","-","-","-","-","-","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","-","-","-","-","-","52.50","-","-","-","-"
"16","EDUCATION","School Uniform Fee ","","-","-","359.73","-","-","-","-","-","-","-"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","-","-","-","-","-","-","-"
"19","PERSONAL CARE","GIV Toilet Soap","","7.88","8.65","8.61","9.00","8.61","9.00","9.00","7.88","7.88","8.24"
"20","PERSONAL CARE","Blade-INDIA","","1.50","-","2.00","2.00","2.00","2.00","2.00","2.00","1.50","1.00"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","6.65","5.00","10.00","10.00","8.88","10.00","10.00","10.00","10.00","12.16"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","25.00","20.00","30.00","30.00","20.00","30.00","30.00","35.00","30.00","30.00"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","6.65","5.00","10.00","10.00","10.00","10.00","10.00","7.00","8.00","7.65"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","22.65","24.99","24.33","25.00","25.00","25.00","23.99","25.00","23.33","23.99"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","24.00","25.00","24.66","-","25.00","24.66","23.33","25.00","23.33","24.31"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","68.29","-","90.00","125.00","-","-","-","-","99.67","-"
"7","P R I C E   I N    B I R R","Perfume  ","1","-","-","-","-","-","65.00","-","-","-","-"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","31.86","-","34.94","-","-","40.69","-","-","-","-"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.00","2.00","4.00","5.00","3.00","4.00","4.00","3.00","3.00","3.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","15.33","16.13","15.66","16.31","19.31","17.00","20.00","18.00","16.00","14.64"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","-","64.81","86.45","-","86.64","83.20","103.23","80.00","70.00","80.00"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","111.64","84.85","133.25","160.00","143.26","123.24","143.26","100.00","146.59","114.93"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","300.00","200.00","250.00","-","-","193.10","-","-","250.00","219.53"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","40.00","-","50.00","70.00","103.23","-","82.46","-","66.04","-"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","-","-","-","-","-","60.00","-","50.00","-","54.85"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","4140.00","-","3200.00","-","-","4140.00","4400.00","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","6210.00","-","4800.00","-","-","6210.00","6600.00","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","4140.00","-","3200.00","-","-","4140.00","4400.00","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","20700.00","-","16000.00","-","-","-","-","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","1099.24","689.85","381.01","305.85","482.74","545.58","603.21","682.92","386.30","375.78"
"2","LIVESTOCK","Goat (10-15Kg)","","959.90","679.56","439.61","332.28","416.02","476.22","469.93","548.48","466.36","415.53"
"3","LIVESTOCK","Heifer (2-4 Years)","","-","2564.96","3184.04","2428.38","1648.45","2098.41","1998.33","2032.79","-","3089.93"
"4","LIVESTOCK","Cow (4 Years and Above)","","-","4915.93","3224.82","3346.33","3431.09","2630.41","3098.92","2766.26","-","3880.52"
"5","LIVESTOCK","Bull (2-4 Years)","","8410.83","3232.99","4257.10","3360.46","2062.84","2398.61","2215.01","2466.21","-","3087.17"
"6","LIVESTOCK","Ox (4 Years and Above)","","10374.16","5216.61","7340.90","4612.30","6531.10","5484.81","6165.40","5828.48","-","9359.46"
"7","LIVESTOCK","Hen (Indigenous)","","53.28","47.62","32.27","22.57","63.16","69.52","42.28","49.83","47.62","37.61"
"8","LIVESTOCK","Cock (Indigenous)","","108.01","63.29","108.77","50.00","96.55","109.70","66.38","78.30","99.67","61.05"
"9","DRAUGHT ANIMALS","Donkey","","-","1732.70","2728.83","-","-","2498.67","2500.00","2100.00","-","1941.89"
"10","DRAUGHT ANIMALS","Horse","","-","-","-","-","2549.51","-","-","2297.83","-","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","-","-","-","-","5899.15","6899.28","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","83.71","80.00","54.77","45.00","32.40","30.00","-","35.00","59.56","37.42"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","87.46","-","100.00","-","-","60.00","100.00","120.00","121.64","94.91"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","85.00","120.00","100.00","-","150.00","140.00","-","150.00","86.64","87.46"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","-","-","-","41.60","-","-","28.00","-","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","-","-","-","-","34.64","-","-","-","-","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","13.92","-","-","25.65","-","-","18.00","-","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","50.00","43.90","84.90","90.00","78.30","80.00","50.00","60.00","-","81.63"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","-","6.95","14.80","-","-","-","-","-","-","-"
