"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","35.33","-","-","-","-","34.99","30.00","-","35.66","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","-","-","-","28.65","-","25.00","30.65","-","-","28.65","-","-"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","17.31","15.83","16.98","18.64","16.00","16.66","15.66","18.64","17.66","16.33","18.00","18.00"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","18.64","17.66","17.33","23.00","17.66","19.31","18.29","16.00","17.66","17.33","16.00","19.66"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","15.00","14.49","15.00","16.64","15.00","15.64","13.00","13.66","15.00","14.98","13.33","-"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","26.33","25.33","26.00","28.00","25.00","25.99","25.33","26.66","26.00","28.00","25.33","25.33"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","12.00","13.33","12.00","13.00","12.32","12.32","11.00","12.66","12.66","11.16","11.32","11.16"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","19.31","20.00","20.00","20.00","17.66","20.00","17.66","19.66","18.33","18.00","17.00","19.66"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","60.00","64.87","70.00","69.33","63.16","70.00","70.00","61.30","62.45","66.63","60.00","64.87"
"4","OIL SEEDS","Niger Seed","Kg ","20.00","24.00","20.00","24.00","20.00","20.00","21.25","24.00","20.65","25.00","20.00","20.00"
"5","OIL SEEDS","Linseed White","Kg ","24.33","30.00","25.00","30.00","36.99","28.65","25.33","30.00","25.00","30.00","25.00","25.00"
"6","OIL SEEDS","Linseed Red","Kg ","20.00","24.00","19.31","23.33","20.65","20.00","20.00","24.33","20.00","24.66","18.00","21.31"
