"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"1","TOBACCO","'Gaya'","Kg ","-","-","-","-","-","-","-","-","-","-","-","98.59"
"2","CLOTHING","Abujedid(Akaki/Bahir Dar)91cm","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"3","CLOTHING","Abujedid(Komb",")150cm Meter ","21.63","27.33","22.00","28.00","27.33","25.33","23.33","25.33","23.33","25.33","22.33","25.00"
"4","CLOTHING","Khaki(S-10,000 Twil)150cm","Meter ","65.00","-","-","-","-","-","-","-","-","-","-","-"
"5","CLOTHING","Khaki(Akaki)","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"6","CLOTHING","Wool-England 100%","Meter ","405.48","-","-","-","-","-","-","-","-","-","-","-"
"7","CLOTHING","Tetron(A","Meter ","77.85","-","-","-","-","-","-","75.00","-","-","-","-"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","40.00","-","-","-","-","-","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","51.30","-","40.00","-","-","45.00","-","45.00","-","45.00","34.66","45.00"
"10","CLOTHING","Nylon(Mojo)","Meter ","25.00","-","-","-","-","-","-","-","-","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","74.67","-","-","-","-","-","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","-","-","-","-","-","-","-","-","-","53.28","-"
"13","CLOTHING","Cotton","Kg ","35.00","40.00","-","-","-","40.00","-","-","-","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"17","CLOTHING","Deriya","Meter ","71.82","-","-","-","-","-","-","-","-","-","64.37","-"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","646.33","664.94","666.26","850.00","547.72","600.00","524.40","748.89","700.00","698.81","664.94","482.74"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","-","-","256.62","-","324.04","-","244.95","-","295.80","-","382.59","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","-","163.27","-","-","-","120.00","-","134.16","-","232.08","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","146.59","136.58","143.26","-","176.60","150.00","154.95","146.59","150.00","153.26","-","150.00"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","416.02","422.84","476.64","-","406.56","500.00","403.31","493.24","424.26","416.48","-","416.48"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","246.62","213.12","206.46","253.29","219.53","210.00","239.86","220.00","244.95","266.62","246.62","216.61"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","180.00","186.43","180.00","220.00","180.00","-","196.61","206.61","209.76","250.00","200.00","206.46"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","25.00","20.00","25.00","30.00","23.96","-","28.23","29.32","23.21","30.00","25.00","26.57"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","246.62","250.00","159.69","280.00","189.74","220.00","200.00","223.28","223.61","-","200.00","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","230.00","-","190.00","-","200.00","-","186.43","250.00","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","30.00","28.23","25.00","35.00","29.32","28.00","30.00","30.00","31.58","29.32","30.00","30.00"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","41.60","41.60","41.60","40.00","40.00","-","40.00","35.00","-","-","40.00","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","400.00","443.23","413.22","450.00","450.00","-","406.56","450.00","400.00","450.00","432.67","432.67"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","4160.17","-","-","-","-","-","-","3500.00","-","4242.64","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","532.80","508.20","499.73","450.00","582.85","-","456.64","566.19","524.40","-","-","491.52"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","356.64","360.00","334.66","369.72","322.69","-","365.93","366.55","334.66","350.00","350.00","335.61"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","213.28","250.00","184.93","210.00","-","-","265.66","250.00","250.00","253.29","280.00","250.00"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-","282.31","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","2350.96","-","1800.00","2500.00","2073.00","-","-","2300.00","-","2057.57","2800.00","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","50.00","50.00","48.27","-","50.00","-","45.00","50.00","43.27","41.60","51.61","50.00"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","180.00","182.92","163.27","213.12","176.60","-","170.00","213.28","209.76","213.12","200.00","170.00"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","450.00","439.77","391.16","469.57","432.67","-","400.00","550.00","474.34","466.08","359.73","466.08"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","466.08","449.70","416.02","480.00","464.16","-","464.16","466.08","374.17","482.74","432.67","432.67"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","80.00","-","-","-","-","-","-","-","-","-","66.63","-"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","213.12","-","-","-","-","-","-","-","-","-","186.43","-"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","43.27","50.00","50.00","45.00","46.61","-","46.61","50.00","48.27","48.27","40.00","50.00"
"1","READY-MADE / FOR CHILDREN","Sweater (Local) for Boys","No ","-","-","-","120.00","-","120.00","-","-","120.00","-","-","-"
"2","READY-MADE / FOR CHILDREN","Socks (Imported) Cotton","Pair ","21.54","15.94","15.00","20.00","15.00","-","15.00","19.31","17.95","15.94","15.00","18.17"
"3","READY-MADE / FOR CHILDREN","Jeans Trouser","No ","-","-","126.58","-","-","-","-","-","-","-","130.00","-"
"4","READY-MADE / FOR CHILDREN","Shirt Long Sleeved(Imported)Boys","No ","123.24","126.58","-","100.00","116.57","-","143.26","156.59","120.00","123.24","-","121.64"
"5","READY-MADE / FOR CHILDREN","Sweater (England) for Girls","No ","-","-","-","-","-","-","154.92","256.62","180.00","-","200.00","200.00"
"6","READY-MADE / FOR CHILDREN","Kemise(for childeren) ","No ","422.84","406.56","379.91","480.00","356.54","-","356.54","393.22","343.20","373.30","359.73","450.00"
"7","READY-MADE / FOR CHILDREN","Baby Cloths(Complete)","No ","150.00","156.59","176.60","203.28","166.41","160.00","150.00","183.27","150.00","150.00","180.00","173.27"
"8","READY-MADE / FOR CHILDREN","T-Shirt","No ","129.27","116.57","104.88","100.00","126.58","-","143.01","109.70","136.58","120.00","106.27","118.31"
"9","READY-MADE / FOR CHILDREN","Jeans trouser and Jacket","No ","-","-","-","-","-","-","-","-","-","-","293.18","-"
"10","FOOTWEAR (MEN AND WOMEN)","Anbessa Leather Shoes Men(Local)Pair ","Anbessa Leather Shoes Men(Local)Pair ","462.79","434.74","363.21","405.00","363.21","-","392.07","382.09","324.04","443.92","359.73","339.79"
"11","FOOTWEAR (MEN AND WOMEN)","Leather Shoes Men (Croft)","Pair ","1500.00","1500.00","1500.00","-","-","-","-","1483.14","-","1400.00","-","-"
"12","FOOTWEAR (MEN AND WOMEN)","Walking Shoes(Imp",") Non-Leather Pair ","356.64","359.73","343.20","466.08","400.00","-","400.00","-","344.96","389.74","-","382.59"
"13","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (Local) Men","Pair ","-","-","110.00","-","-","-","-","-","-","-","-","-"
"14","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (China) Men","Pair ","139.25","143.26","126.64","-","136.58","-","-","150.00","144.91","-","131.65","123.31"
"15","FOOTWEAR (MEN AND WOMEN)","Plastic Shoes (Local) Women","Pair ","15.00","15.00","13.00","15.00","14.33","15.00","14.00","12.32","15.00","15.00","14.00","13.00"
"16","FOOTWEAR (MEN AND WOMEN)","Slippers Sponge Adult (China)","Pair ","31.97","30.00","32.00","34.32","35.97","35.33","30.00","35.00","30.00","33.97","35.00","30.65"
"17","FOOTWEAR (MEN AND WOMEN)","Boots for Men Plastic (Local)","Pair ","130.00","-","122.47","-","-","-","131.65","150.00","-","-","-","123.31"
"18","FOOTWEAR (MEN AND WOMEN)","Sendel Plastic Shoes (Imp","Pair ","34.32","36.32","34.66","35.00","35.00","35.00","35.00","40.00","35.00","35.00","35.65","35.00"
"19","FOOTWEAR (MEN AND WOMEN)","Cost of Mending Shoes sole(Men)","Pair ","40.00","45.00","43.27","50.00","50.00","51.32","53.13","43.98","51.61","40.00","60.00","43.27"
"20","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(China)","Pair ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(Local)","Pair ","222.40","287.44","246.62","321.00","225.72","-","243.15","339.00","214.48","267.75","189.82","200.00"
"22","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Local)","Pair ","225.72","238.75","153.26","215.00","222.40","-","154.92","244.32","180.00","264.49","196.61","186.03"
"23","FOOTWEAR (MEN AND WOMEN)","Plastic shoe(Childern)","Pair ","11.66","12.00","12.00","13.00","12.00","12.00","12.00","15.00","12.32","13.00","13.00","11.66"
"24","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Imported)","Pair ","-","-","-","-","-","-","-","-","-","-","-","-"
"25","FOOTWEAR (MEN AND WOMEN)","Shoe sendel(Plastic) Childern","Pair ","30.00","28.96","28.65","30.00","28.65","-","25.00","-","30.00","30.00","30.00","-"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","125.00","116.66","-","121.64","125.00","125.00","125.00","-","117.99","127.61","126.58","125.00"
"2","CONSTRUCTION MATERIALS","Lime","","4.14","-","-","-","-","-","-","-","-","-","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","2.00","1.60","1.46","1.91","1.46","-","1.32","1.60","1.16","1.60","1.50","1.40"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","37.89","33.56","37.61","32.97","32.00","30.00","34.00","32.33","32.00","37.98","31.96","35.26"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","50.00","58.28","61.48","55.00","50.00","51.61","50.66","58.28","52.44","60.00","48.66","55.14"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","118.31","119.33","122.99","120.00","115.00","121.64","117.99","120.00","120.00","123.24","115.33","129.05"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","18.44","20.98","20.95","20.00","21.31","17.31","20.98","21.31","19.31","17.66","18.97","19.31"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","156.59","148.31","151.65","146.65","135.00","148.31","141.65","146.33","142.48","163.32","144.94","150.76"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","256.62","263.32","256.62","263.32","261.66","268.32","256.66","240.00","260.00","270.00","236.65","260.69"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","680.27","419.20","542.00","552.27","471.65","648.15","629.94","-","398.88","583.70","601.16","553.81"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","9.50","8.49","8.49","8.33","8.50","8.33","8.75","10.00","7.75","9.13","10.00","7.50"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","4.00","4.00","4.00","3.50","3.55","3.24","-","-","2.97","4.15","3.32","4.00"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","140.29","140.00","-","140.00","143.26","121.64","150.00","-","-","-","131.65","140.00"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","-","-","-","-","-","-","-","-","-","-","-","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","-","-","-","-","-","-","-","-","-","-","-","250.00"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","535.47","362.45","438.90","473.37","471.65","555.56","585.66","580.43","306.12","483.97","447.62","553.81"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","67.45","-","75.00","65.00","70.00","70.00","-","-","60.00","62.40","-","71.63"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","44.00","50.82","-","45.00","46.70","-","-","-","42.00","42.50","-","50.00"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","3199.74","3350.00","3065.24","-","-","-","-","3333.00","-","-","-","-"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","CONSTRUCTION MATERIALS","Mega Paints","","125.71","-","-","-","140.00","-","146.64","150.00","137.14","-","145.00","-"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","156.59","150.00","-","145.00","160.00","148.31","141.65","153.32","145.00","166.60","143.31","146.65"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","-","138.31","-","-","-","149.50","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","","175.00","-","-","-","-","-","-","168.32","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","200.00","231.30","222.40","226.62","178.32","180.00","200.00","256.62","189.74","276.63","193.10","213.40"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","-","-","1032.28","-","-","-","1100.00","-","1265.77","1497.00"
"1","WATER","Water","Meter ","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75"
"2","FUEL AND POWER","Fire Wood","Meter ","543.39","384.02","-","387.95","678.44","-","-","595.33","243.83","754.10","-","-"
"3","FUEL AND POWER","Charcoal","","9.34","12.05","10.98","12.69","9.99","11.48","7.60","9.12","11.53","8.45","6.58","9.75"
"4","FUEL AND POWER","Dung Cake","","-","-","3.03","-","-","1.26","1.42","1.27","-","-","3.03","-"
"5","FUEL AND POWER","Kerosine","","13.85","13.85","13.85","13.85","13.85","13.85","13.85","13.85","13.85","13.85","13.85","13.85"
"6","FUEL AND POWER","Diesel","","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91"
"7","FUEL AND POWER","Electric","",".27",".27",".27",".27",".27",".27",".27",".27",".27",".27",".27",".27"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","560.42","567.69","-","561.46","563.48","570.52","570.52","-","570.52","572.92","586.50","588.54"
"11","FUEL AND POWER","Eveready Drycell","","5.00","5.33","5.00","5.50","5.00","5.00","5.00","5.00","5.50","5.31","5.33","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","1062.66","2154.43","2000.00","1693.86","1565.95","-","1474.79","1787.69","-","1392.48","2090.74","1632.66"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-","-","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","448.14","865.35","532.80","566.19","600.00","450.00","842.59","882.92","474.34","616.22","660.39","766.31"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","-","-","-","-","-","-","-","-","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","3741.66","4397.69","3433.01","3659.31","3366.33","2500.00","4490.67","4196.43","2846.05","4228.38","3189.99","3533.02"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","2566.23","4228.38","3298.99","3324.70","3131.89","2100.00","3477.13","3387.77","2598.08","4228.38","3551.62","3131.89"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","9163.67","8830.15","12331.06","9800.00","8000.00","-","11175.09","12901.46","9259.13","11972.16","9923.18","13228.76"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","947.27","1392.48","782.97","2364.82","1232.45","1000.00","-","1958.66","1048.81","1363.51","1888.20","1363.51"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","2924.02","2758.92","1883.18","2332.86","2000.00","2000.00","3172.84","2330.04","1800.00","2598.72","2017.19","2865.14"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","250.00","-","-","-","-","-","229.50","-","250.00","229.50","-","229.55"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","453.31","-","-","-","-","-","-","-","-","-","434.74","-"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","-","-","-","-","-","-","-","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","276.63","348.33","296.63","-","339.70","-","345.50","316.63","350.00","-","336.43","321.15"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","1027.84","1030.19","975.12","975.10","-","1089.00","1209.05","1061.64","-","-","-","1209.10"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","-","-","-","-","-","-","80.00","-","-","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","116.57","130.00","113.24","-","126.58","-","133.25","150.00","113.31","150.00","119.33","125.00"
"8","EARTHEN WARE","Plastic tile","m","111.64","80.00","-","-","-","-","-","-","-","-","76.63","-"
"9","EARTHEN WARE","Water Pot","","103.23","-","-","-","-","-","-","-","-","-","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","25.00","27.59","25.00","25.00","22.66","25.00","20.00","20.00","24.31","19.31","20.65","24.31"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","56.46","-","53.28","50.00","50.00","40.00","55.00","54.33","60.00","60.00","-","56.62"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","88.30","85.99","-","-","80.00","76.49","80.00","80.00","71.63","70.00","93.22","90.00"
"13","EARTHEN WARE","Cup for Coffee (China)","","5.31","5.65","5.31","5.00","4.66","6.00","5.65","5.00","4.66","4.83","4.86","5.00"
"14","EARTHEN WARE","Plate Clay (imported)","","35.00","-","35.00","-","-","-","-","35.00","-","-","35.00","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","50.00","38.62","47.43","45.00","30.00","-","39.66","40.00","38.66","35.00","-","50.00"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","10.00","-","10.00","-","10.63","-","-","15.00","-","-","10.00","10.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","88.30","88.99","88.30","90.00","86.64","96.64","81.63","80.00","83.30","81.63","100.00","85.00"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","50.00","46.61","-","50.00","43.27","50.00","45.00","43.66","45.00","42.66","49.32","45.00"
"19","METAL WARE","Electric 'Mitad' Aluminium","","983.05","1200.00","1232.45","1032.28","-","1129.24","1148.91","-","1200.00","1265.77","1300.00","1200.00"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","150.00","149.33","153.26","146.59","143.26","158.32","148.31","140.00","141.65","140.00","153.26","140.00"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","464.16","-","-","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","6749.88","-","-","-","-","-","-","-","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-","-","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","48.27","40.66","44.32","45.00","43.98","43.99","41.32","40.00","40.66","39.32","40.00","45.00"
"6","GLASS WARE","Glass for Tea (Duralex)","","7.00","7.00","6.00","7.00","6.00","6.66","6.32","7.00","6.47","6.33","6.43","7.00"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","70.00","-","-","-","-","-","-","-","-","-","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","12.00","-","-","-","-","-","-","-","-","-","-","8.00"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","-","-","-","-","-","-","-","-","-","-","-"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","10.00","9.49","9.65","12.00","10.00","9.65","10.00","12.32","12.00","10.00","12.00","12.00"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","8.00","7.66","7.50","7.00","6.53","8.00","8.00","7.66","8.00","7.66","8.00","7.16"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","9.60","-","-","12.00","-","-","11.00","11.00","-","10.00","10.66","10.48"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","4.17","4.17","5.00","5.00","-","3.33","4.71","4.17","4.17","4.03","5.00","4.17"
"14","HOUSEHOLD OPERATION","Incense","","103.23","120.00","-","-","120.00","-","100.00","100.00","-","-","109.70","-"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50",".50",".50",".50",".50",".50",".50",".91",".50",".50",".50",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","8.00","8.66","8.58","9.00","8.50","8.50","8.00","8.00","9.00","8.50","8.65","9.00"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.21","2.13","2.21","2.25","2.17","2.09","2.13","2.21","2.25","2.25","2.17","2.33"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","45.01","39.19","35.97","53.98","35.45","38.26","38.34","38.97","38.43","38.82","31.97","40.31"
"2","DOMESTIC SERVICE","Maid Servant","M","400.00","422.84","416.02","400.00","400.00","450.00","382.59","466.08","374.17","356.54","382.59","432.67"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","41.60","38.26","40.00","60.00","40.00","35.00","48.27","40.00","46.42","41.60","40.00","40.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","369.72","393.22","380.58","482.74","374.17","400.00","324.04","464.16","359.86","364.69","416.02","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","-","25.20","39.20","-","33.60","28.00","-","29.75","-","-","27.53","28.00"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","19.60","14.75","19.47","18.62","18.62","17.18","23.08","19.03","20.06","20.49","19.92","19.40"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","7.70","7.32","8.49","7.49","8.83","8.25","8.62","7.32","8.11","8.83","7.16","8.53"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","36.29","20.89","35.37","33.60","35.37","39.20","36.29","37.24","40.11","32.64","36.70","36.29"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","3.93","3.63","4.00","3.00","3.83","3.98","4.00","4.00","3.83","4.00","4.00","3.71"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","22.17","24.20","20.98","21.43","23.83","23.23","21.54","22.67","23.54","22.65","24.17","21.59"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","7.35","10.39","9.91","9.78","-","12.37","8.47","-","7.24","8.22","8.69","6.87"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","2.58","3.00","3.46","3.00","2.82","3.16","3.63","3.00","2.82","3.00","3.30","3.46"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","8.22","8.47","9.47","9.00","9.00","9.00","9.91","7.50","9.24","9.73","9.00","8.61"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","2.26","2.00","2.83","2.83","2.24","2.26","2.62","3.07","3.48","2.29","4.00","2.39"
"15","MEDICAL CARE","Insulin(Lente)","Butt","80.00","-","-","80.36","-","76.22","72.00","-","71.97","-","70.66","75.00"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","15.73","16.00","16.00","16.00","15.19","16.48","16.00","16.00","15.73","16.52","16.00","16.00"
"17","MEDICAL CARE","Magnesium Oxide","30 P","4.14","4.50","4.95","4.50","3.70","4.50","4.50","5.74","4.50","5.45","4.50","3.80"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-","-","-","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","5.00","-","10.00","-","-","-","5.00","5.00","5.00","5.00","5.00","-"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","36.84","50.00","34.64","24.49","20.00","22.89","31.07","43.09","24.49","22.89","26.21","24.66"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","3.00","2.00","3.00","2.45","2.88","5.00","3.91","3.00","2.45","4.22","2.29","2.62"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","13.96","13.10","15.00","10.00","10.63","8.37","12.16","10.63","14.14","18.38","10.63","18.17"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","-","-","26.60","-","-","-","40.00","40.00","-","20.00","-","-"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","72.46","69.52","63.25","70.00","69.28","-","83.67","74.89","85.00","-","66.76","69.28"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","122.47","89.44","150.00","150.00","114.47","-","173.21","139.64","150.00","122.47","112.92","-"
"5","TRANSPORT","Benzene","","18.78","18.78","18.78","18.78","18.78","18.78","18.78","18.78","18.78","18.78","18.78","18.78"
"6","TRANSPORT","Motor Oil (Mobil)","","80.49","83.28","83.10","83.10","84.10","83.10","84.00","84.36","83.10","83.00","82.73","83.28"
"7","TRANSPORT","Car Washing and Greasing","","60.00","60.00","89.72","80.00","60.00","40.00","74.83","53.73","65.00","51.36","56.46","-"
"8","TRANSPORT","Bus Fare (per km)","T","-","-","-","-","-","-","-","-","-","-",".30",".30"
"9","TRANSPORT","Bus Fare (within Town) ","","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.35"
"10","TRANSPORT","Taxi Fare ","","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35","1.35"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","-","-","-","-","-","-","-","-","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-","-","-","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","-","-","-","-","2.00","-","-","-","-","-","3.00"
