"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","14.57","-","-","13.40","13.35"
"6","FUEL AND POWER","Diesel","","17.63","-","-","16.46","16.41"
"7","FUEL AND POWER","Electric","",".27",".27",".27",".27","270.00"
"8","FUEL AND POWER","Matches","","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","661.46","625.00"
"11","FUEL AND POWER","Eveready Drycell","","6.00","5.66","5.50","-","5.00"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","1232.45","-","974.68","1062.66","-"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","450.00","-","300.00","486.33","743.64"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","240.00","-","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","8163.31","-","5399.07","3380.29","4466.42"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","4500.00","-","3432.02","3218.40","3825.86"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","15000.00","-","13000.00","12463.16","-"
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","1632.66","-","1249.00","1394.19","1665.99"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","4000.00","-","3500.00","2642.14","3397.00"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","-","-","-","214.94","-"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","523.31","-","-","343.20","-"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","-","-","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","-","-","350.00","234.95","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","1200.00","-","966.38","939.53","976.66"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","-","-","76.63","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","119.93","-","-","81.63","-"
"8","EARTHEN WARE","Plastic tile","m","66.63","60.00","55.00","81.63","73.29"
"9","EARTHEN WARE","Water Pot","","74.89","-","40.00","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","-","-","20.00","27.89","25.00"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","43.27","60.00","80.00","71.63","77.46"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","-","-","-","62.45","98.30"
"13","EARTHEN WARE","Cup for Coffee (China)","","7.00","8.00","5.00","6.24","6.00"
"14","EARTHEN WARE","Plate Clay (imported)","","-","-","-","-","-"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","38.26","-","35.00","34.32","35.00"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","10.00","10.95","8.00","8.32","6.00"
"17","METAL WARE","Cooking Pan Medium (Local)","","193.10","-","65.00","54.06","76.63"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","56.62","-","-","42.28","43.27"
"19","METAL WARE","Electric 'Mitad' Aluminium","","-","-","-","1320.77","1200.00"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","160.00","-","-","158.32","158.32"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Refregrator","","-","-","-","8700.00","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","45.00","50.00","45.00","45.45","40.00"
"6","GLASS WARE","Glass for Tea (Duralex)","","-","-","6.00","7.83","8.00"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","-","-","-","-","-"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","-","-","-","3.74","5.00"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","-","-","-","22.25","21.31"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","15.00","15.33","15.00","10.80","12.66"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","8.00","-","-","-","-"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","9.60","10.63","10.00","-","-"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","5.00","-","-","4.78","2.93"
"14","HOUSEHOLD OPERATION","Incense","","100.00","-","-","68.29","80.00"
"15","HOUSEHOLD OPERATION","Sandal Wood","",".50",".50",".50",".50",".50"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","10.00","10.00","10.00","7.63","9.00"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.50","2.50","2.50","2.00","2.34"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","-","-","-","30.00","50.00"
"2","DOMESTIC SERVICE","Maid Servant","M","382.59","346.41","246.62","331.33","400.00"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","50.00","37.42","41.60","57.93","60.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","416.02","400.00","-","-","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","26.60","28.00","-","28.00","40.98"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","24.00","28.00","22.00","17.59","22.40"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","10.00","13.96","6.00","7.71","9.28"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","24.40","28.00","22.40","36.29","22.40"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.58","4.90","4.00","3.53","4.00"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","20.00","27.39","-","20.99","20.66"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","15.00","15.00","-","9.16","9.00"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","5.31","-","4.00","3.46","3.63"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","13.92","15.00","-","9.44","12.00"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","5.24","10.00","4.00","4.00","2.62"
"15","MEDICAL CARE","Insulin(Lente)","Butt","-","-","-","102.00","75.66"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","18.39","18.00","16.00","15.86","16.00"
"17","MEDICAL CARE","Magnesium Oxide","30 P","9.00","9.00","-","4.33","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","10.00","-","5.00","6.84","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","6.26","-","-","33.25","30.00"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","2.00","1.41","2.00","2.54","2.00"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","10.00","-","7.00","15.00","18.17"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","10.00","-","-","8.96","20.00"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","-","-","92.47","80.00"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","-","-","123.29","121.64"
"5","TRANSPORT","Benzene","","19.93","-","-","18.76","18.71"
"6","TRANSPORT","Motor Oil (Mobil)","","81.50","-","-","84.31","95.00"
"7","TRANSPORT","Car Washing and Greasing","","100.00","-","-","70.32","70.00"
"8","TRANSPORT","Bus Fare (per km)","T",".30","-","-",".28",".26"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","1.00","2.00"
"10","TRANSPORT","Taxi Fare ","","-","-","-","2.41","2.00"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","1319.00","-","-","-","1070.00"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","-","-","-","1.00"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-","-",".20",".20",".20"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","-","-","1.40","1.58","3.60"
"16","COMMUNICATION","Telephone Line Installation Charge","","-","-","283.30","283.30","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-",".85","2.16","2.02"
"19","COMMUNICATION","Internet Service","10hrs/m","-","-","-","83.00","109.00"
"1","EQUIPMENT AND ACCESSORIES","T","","5000.00","-","-","4443.14","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","13.00","-","15.00","15.00","12.00"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","600.00","-","-","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","10.00","10.00","10.00","11.29","10.00"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","3.00","-","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","1100.00","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","5.00","5.00","5.00","4.06","2.00"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","7.00","-","5.00","-","-"
"11","EDUCATION","Pencil (China)","","2.00","-","2.00","2.00","2.00"
"12","EDUCATION","Ball Point-Bic England","","3.83","-","4.00","3.66","3.00"
"13","EDUCATION","Day School Fee-Public(Grade 7 & 8)","M","-","-","-","-","-"
"14","EDUCATION","Day School Fee-Private(Grade 9-10)","M","-","-","-","278.92","-"
"15","EDUCATION","Night School Fee-Government(Gr","9-10)M","82.92","70.00","-","75.00","-"
"16","EDUCATION","School Uniform Fee ","","-","-","-","278.32","128.31"
"17","EDUCATION","Night School Fee-Private(Grade9-10)","M","-","-","-","-","-"
"18","EDUCATION","Night College Fee-Private","Credi","-","-","-","97.00","-"
"19","PERSONAL CARE","GIV Toilet Soap","","8.61","9.00","7.88","9.36","8.44"
"20","PERSONAL CARE","Blade-INDIA","","1.82","2.00","2.00","1.50","1.00"
"1","P R I C E   I N    B I R R","Hair Dressing (Traditional)","","18.17","-","10.00","10.00","10.00"
"2","P R I C E   I N    B I R R","Hair Dressing (Modern)","","-","-","25.00","23.92","25.00"
"3","P R I C E   I N    B I R R","Barbery (Mens Hair Cut)","","12.93","10.00","10.00","10.63","10.00"
"4","P R I C E   I N    B I R R","Zenith Hair Oil(Liquids Form)","3","25.00","25.00","-","22.49","22.00"
"5","P R I C E   I N    B I R R","Zenith Hair Oil(Non-Liquids Form)","3","25.00","25.00","-","22.59","22.66"
"6","P R I C E   I N    B I R R","Shaving Machine (medium) ","","125.00","-","-","103.23","75.00"
"7","P R I C E   I N    B I R R","Perfume  ","1","60.00","-","-","40.90","50.00"
"8","P R I C E   I N    B I R R","Parafin Hair Oil","3","-","-","-","34.07","-"
"9","P R I C E   I N    B I R R","Shoe Polish(Black/Brown)","","3.63","3.00","5.00","3.00","2.00"
"10","P R I C E   I N    B I R R","Modes(Disposable napkins)","Pa","20.00","20.00","20.00","16.39","15.00"
"11","PERSONAL EFFECTS","Umbrella-Men Medium (Local)","","100.00","-","90.00","79.90","113.24"
"12","PERSONAL EFFECTS","Umbrella-Women Medium (Imported)","","138.31","-","120.00","94.91","130.00"
"13","PERSONAL EFFECTS","Hand Bag (Imported Synthetic)","","250.00","-","-","222.99","236.62"
"14","PERSONAL EFFECTS","Belt (Local) Machine Made","","68.29","-","71.63","94.91","116.57"
"15","PERSONAL EFFECTS","Belt (Local) Hand Made","","-","64.81","60.00","80.00","-"
"16","JEWELLERY","Seiko-21 Jewels Automatic (Men)","","-","-","-","-","-"
"17","JEWELLERY","Seiko-21 Jewels Automatic (Women)","","-","-","-","-","-"
"18","JEWELLERY","Earrings (4gm 18 carat Local)","","-","-","-","-","-"
"19","JEWELLERY","Neck Laces (6gm 18 carat Local)","","-","-","-","-","-"
"20","JEWELLERY","Rings (4gm 18 carat Local)","","-","-","-","-","-"
"21","JEWELLERY","Bracelet 20gm (18 carat Local)","","-","-","-","-","-"
"1","LIVESTOCK","Sheep (10-15Kg)","","996.66","-","469.93","2029.56","723.04"
"2","LIVESTOCK","Goat (10-15Kg)","","731.86","598.61","496.64","1415.31","835.49"
"3","LIVESTOCK","Heifer (2-4 Years)","","2798.81","-","2566.23","4089.64","-"
"4","LIVESTOCK","Cow (4 Years and Above)","","3417.10","-","4797.22","8143.25","-"
"5","LIVESTOCK","Bull (2-4 Years)","","3030.79","-","2398.61","5875.20","-"
"6","LIVESTOCK","Ox (4 Years and Above)","","5484.81","5327.42","5729.67","12198.10","-"
"7","LIVESTOCK","Hen (Indigenous)","","44.81","64.87","76.63","35.57","40.00"
"8","LIVESTOCK","Cock (Indigenous)","","91.46","103.23","113.24","67.33","60.00"
"9","DRAUGHT ANIMALS","Donkey","","-","-","-","1414.06","-"
"10","DRAUGHT ANIMALS","Horse","","-","-","-","-","-"
"11","DRAUGHT ANIMALS","Mule","","-","-","-","-","-"
"12","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Sickel","","29.72","-","35.00","38.26","38.26"
"13","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","Pick Axe ('Doma')","","90.00","-","120.00","78.20","71.63"
"14","FARM EQUIPMENT (INDUSTRIAL PRODUCT)","'Gejera'","","100.00","-","140.00","82.46","81.63"
"15","FARM EQUIPMENT (HAND MADE)","'Mofer'","","-","-","-","-","-"
"16","FARM EQUIPMENT (HAND MADE)","'Kember'","","-","-","-","-","-"
"17","FARM EQUIPMENT (HAND MADE)","'Digr'","","-","-","-","109.54","-"
"18","FARM EQUIPMENT (HAND MADE)","Plough","","-","-","100.00","83.30","-"
"19","FARM EQUIPMENT (HAND MADE)","Sickel","","-","-","-","-","-"
