"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","4.76","3.97","3.40","-","4.30"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","4.38","5.83","-","3.42","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","-","3.17","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","3.89","5.53","5.00","3.97","4.35"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","6.00","4.29","4.21","4.29"
"1","MEAT","Beef ","Kg ","96.55","80.00","80.00","144.81","126.58"
"2","MEAT","Camel Meat ","Kg ","-","-","-","80.00","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","19.43","10.00","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","38.26","-","-","31.50","-"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","16.67","10.00","8.70","14.86","14.00"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","-","-","-","34.65","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","13.66","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","135.00","149.91","-","-","-"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","28.00","-","25.00","24.90","24.96"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","40.00","-","21.15","60.00","65.00"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","36.00","36.00","36.00","31.88","33.00"
"13","OILS AND FATS","Butter Unrefined","Kg ","120.00","-","140.00","141.23","136.58"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","27.00","27.70","26.67","23.50","-"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","-","-","-","35.00","-"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","94.44","101.82","-","71.80","77.78"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","6.58","10.35","4.14","4.00","4.41"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","10.00","-","8.11","5.79","7.66"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","17.67","-","-","21.92","6.93"
