"Regions","CATEGORY","ITEM","UNIT","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA"
"Markets","CATEGORY","ITEM","UNIT","Chuahit","Gondar","Esete","Debre- Tabor ","Kobo","Weldiya","Kombolcha","Dessie","Shewa- Robit ","Debre-¦"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","-","-","-","13.98","14.66","-","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","16.00","24.00","-","-","24.27","18.62","20.33","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","-","-","-","-","50.00","40.00","40.00","41.65","50.00","38.62"
"4","OIL SEEDS","Niger Seed","Kg ","13.14","18.97","17.65","12.99","20.34","14.82","22.50","21.28","22.74","20.00"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","52.92","-","-","-","-"
"6","OIL SEEDS","Linseed Red","Kg ","13.38","15.33","10.71","11.14","21.07","19.49","14.46","17.86","20.67","15.00"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","-","-","33.97","23.08","26.59","-","33.17","28.00"
"8","OIL SEEDS","Sunflower","Kg ","7.47","13.66","-","12.98","15.65","17.34","16.22","13.65","9.63","12.00"
"9","OIL SEEDS","Castor Beans","Kg ","-","13.49","-","8.92","-","10.39","19.06","14.85","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","8.89","10.00","7.03","5.46","17.60","14.82","13.95","15.58","-","19.36"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","22.00","15.00","26.00","18.97","-","26.33","25.00","23.66","20.00","23.00"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","30.00","30.00","-","30.00","24.00","30.98","24.00","24.00","-","28.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","30.00","30.00","31.32","28.65","28.33","28.65","29.32","28.00","28.60","26.65"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","19.66","17.33","19.66","18.00","18.66","18.00","17.33","18.00","17.00","17.00"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-","-","-","-","22.50"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","4.74","3.82","2.71","2.95","4.57","4.78","4.16","3.61","3.63","2.96"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","-","5.82","3.14","2.42","-","4.15","4.48","4.70","-","2.95"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","3.85","2.66","2.87","2.14","-","2.64","-","3.68","3.44","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","4.53","4.53","3.50","4.99","3.76","3.77","3.63","4.17","5.25","4.91"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","4.29","6.00","4.29","4.29","4.29","6.00","6.00","7.50","5.45"
"1","MEAT","Beef ","Kg ","80.00","116.64","-","80.00","100.00","80.00","121.97","112.92","103.23","120.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-","-","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","-","35.65","-","-","-","32.27","28.95","32.27","-","28.00"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","11.11","11.11","9.63","10.00","11.11","10.63","9.32","10.00","-","10.00"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","-","-","-","-","-","-","-","33.32","-","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-"
"9","DIARY PRODUCTS AND EGG","Powdered Milk (Me&My)","450gm ","-","106.88","-","106.88","106.88","133.10","123.75","127.10","-","-"
"10","DIARY PRODUCTS AND EGG","Yoghurt (Traditional)","Lt ","-","-","12.03","10.00","-","20.00","21.05","12.41","-","12.50"
"11","DIARY PRODUCTS AND EGG","Cheese Cottage","Kg ","-","-","-","-","-","-","-","34.29","-","40.00"
"12","DIARY PRODUCTS AND EGG","Egg (Traditional)","Dozen ","21.96","27.00","21.60","27.00","21.96","24.00","25.18","24.00","24.00","27.00"
"13","OILS AND FATS","Butter Unrefined","Kg ","114.93","-","130.00","133.31","150.00","141.65","148.31","130.00","222.02","150.00"
"14","OILS AND FATS","Cooking Oil (Imported)","Lt ","24.00","25.00","23.60","24.33","24.33","24.03","25.54","23.44","-","24.18"
"15","OILS AND FATS","Cooking Oil (Local)","Lt ","46.00","42.00","41.32","40.00","-","-","-","35.33","-","32.00"
"16","OILS AND FATS","Vegetable Butter(Sheno & Shady)","Kg ","-","96.26","-","91.62","94.44","100.00","94.44","94.44","89.62","93.69"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","-","3.86","-","-","2.73","-","-","5.23","5.47","3.89"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","6.83","4.83","2.13","4.43","3.04","4.17","4.52","4.43","4.89","2.66"
