"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"16","CLOTHING","Kashemire","Meter ","58.28","-","67.64","51.65","61.62","-","68.29","64.81","-","-","-","-"
"17","CLOTHING","Deriya","Meter ","-","-","-","-","-","-","-","-","-","-","-","50.00"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","459.79","-","459.93","586.53","380.00","550.00","600.00","509.16","-","-","-","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","229.85","-","176.60","159.79","123.24","206.46","173.21","189.74","-","-","-","273.86"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","103.23","-","94.91","109.70","58.28","-","124.90","94.87","-","-","-","134.16"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","263.04","239.86","-","269.88","209.84","-","128.31","-","-","-","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","482.74","503.18","716.56","748.89","616.22","616.54","726.37","696.65","-","-","-","-"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","234.95","154.95","150.00","-","-","-","-","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","266.37","153.32","233.00","229.85","309.89","216.61","256.50","289.65","200.00","189.74","193.10","213.12"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","280.00","158.32","168.12","169.80","276.63","169.80","206.46","256.50","173.07","179.26","136.58","233.00"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","25.96","20.00","15.00","18.98","25.00","20.00","21.54","30.00","21.54","20.00","15.64","20.00"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","289.83","-","-","-","-","-","160.00","324.04","-","-","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","194.81","-","-","-","-","-","-","273.86","-","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","25.96","25.00","34.32","18.29","28.23","14.00","17.33","29.66","41.60","35.00","26.57","36.59"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","57.63","58.28","40.00","43.99","-","48.27","55.00","-","45.00","-","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","459.79","-","483.17","-","406.56","432.67","482.74","493.24","-","-","343.20","423.31"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","-","676.35","714.00","600.00","774.60","524.40","916.37","-","-","-","-"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","304.96","-","350.00","239.79","443.23","359.73","-","399.50","-","-","-","-"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","240.00","-","219.85","-","333.10","234.52","-","244.95","-","-","-","-"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","299.89","309.89","-","-","-","-","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","-","-","-","-","-","948.68","900.00","-","-","-","-","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","-","-","67.64","44.81","-","58.28","46.61","67.45","-","-","-","-"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-","74.89","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","191.48","124.93","178.03","159.79","199.83","161.65","182.92","233.00","176.42","156.59","133.25","159.79"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","358.23","373.28","434.74","316.42","-","-","-","850.00","-","-","-","359.86"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","359.98","-","-","374.17","506.58","466.08","450.00","732.95","-","-","-","432.67"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","59.33","66.63","-","-","-","-","-","104.88","339.70","531.33","378.33","532.80"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","-","-","-","-","-","-","-","-","130.00","-","-","169.80"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-","-","-","-","-","-","-","-"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","33.25","30.00","40.00","44.66","50.00","50.00","48.27","64.87","43.27","36.34","33.25","45.00"
"1","READY-MADE / FOR CHILDREN","Sweater (Local) for Boys","No ","85.00","-","-","-","-","-","-","124.90","-","-","-","-"
"2","READY-MADE / FOR CHILDREN","Socks (Imported) Cotton","Pair ","13.92","10.00","10.00","12.97","15.00","15.33","15.00","15.64","12.93","-","8.88","8.32"
"3","READY-MADE / FOR CHILDREN","Jeans Trouser","No ","274.95","-","326.01","229.78","-","-","250.00","-","-","-","196.61","-"
"4","READY-MADE / FOR CHILDREN","Shirt Long Sleeved(Imported)Boys","No ","-","131.52","-","124.90","114.89","150.00","144.91","153.26","-","-","103.23","159.79"
"5","READY-MADE / FOR CHILDREN","Sweater (England) for Girls","No ","-","-","-","-","-","-","-","170.00","-","-","-","-"
"6","READY-MADE / FOR CHILDREN","Kemise(for childeren) ","No ","336.43","159.95","359.91","189.82","359.73","439.77","182.92","353.30","223.61","-","-","372.77"
"7","READY-MADE / FOR CHILDREN","Baby Cloths(Complete)","No ","150.00","151.65","158.21","241.59","216.30","143.26","160.00","189.82","154.92","-","143.26","254.58"
"8","READY-MADE / FOR CHILDREN","T-Shirt","No ","43.27","83.30","-","-","-","-","-","-","-","-","136.58","64.87"
"9","READY-MADE / FOR CHILDREN","Jeans trouser and Jacket","No ","366.45","279.52","364.98","272.57","-","339.90","-","-","-","-","-","272.57"
"10","FOOTWEAR (MEN AND WOMEN)","Anbessa Leather Shoes Men(Local)Pair ","Anbessa Leather Shoes Men(Local)Pair ","-","-","373.30","259.87","365.93","250.00","386.55","466.08","180.00","-","-","346.05"
"11","FOOTWEAR (MEN AND WOMEN)","Leather Shoes Men (Croft)","Pair ","-","-","-","421.74","-","-","-","-","-","-","226.62","-"
"12","FOOTWEAR (MEN AND WOMEN)","Walking Shoes(Imp",") Non-Leather Pair ","-","-","-","272.57","406.56","-","354.96","-","250.00","-","-","322.69"
"13","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (Local) Men","Pair ","152.48","153.32","-","150.00","-","-","-","-","-","-","83.30","-"
"14","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (China) Men","Pair ","-","187.48","129.74","229.85","203.28","226.62","143.26","179.95","-","-","-","200.00"
"15","FOOTWEAR (MEN AND WOMEN)","Plastic Shoes (Local) Women","Pair ","23.96","18.64","17.00","25.99","25.00","25.00","15.33","28.00","20.00","-","28.65","30.65"
"16","FOOTWEAR (MEN AND WOMEN)","Slippers Sponge Adult (China)","Pair ","35.97","30.00","28.33","30.00","-","-","-","33.65","30.00","35.00","29.32","26.32"
"17","FOOTWEAR (MEN AND WOMEN)","Boots for Men Plastic (Local)","Pair ","79.90","68.29","-","130.00","-","80.00","-","80.00","-","-","-","-"
"18","FOOTWEAR (MEN AND WOMEN)","Sendel Plastic Shoes (Imp","Pair ","32.97","33.97","25.00","30.00","35.00","35.00","25.00","35.00","-","-","36.59","36.32"
"19","FOOTWEAR (MEN AND WOMEN)","Cost of Mending Shoes sole(Men)","Pair ","45.00","-","27.33","40.00","43.27","54.85","40.00","-","-","-","-","70.00"
"20","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(China)","Pair ","275.89","240.00","283.06","409.88","349.90","253.29","-","346.63","280.00","-","-","236.33"
"21","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(Local)","Pair ","-","-","149.78","239.79","153.26","146.59","146.59","250.00","127.48","-","58.28","-"
"22","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Local)","Pair ","197.48","86.40","174.95","224.94","124.90","160.00","159.79","250.00","-","-","-","-"
"23","FOOTWEAR (MEN AND WOMEN)","Plastic shoe(Childern)","Pair ","16.97","15.00","15.33","14.66","22.96","23.00","12.00","25.00","-","-","29.32","23.30"
"24","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Imported)","Pair ","189.74","-","-","274.95","-","-","159.79","-","140.00","-","133.25","156.39"
"25","FOOTWEAR (MEN AND WOMEN)","Shoe sendel(Plastic) Childern","Pair ","-","-","16.33","14.66","30.00","28.00","17.66","27.66","-","-","28.23","31.32"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","-","130.00","125.00","135.00","117.50","108.99","132.48","105.00","133.41","125.00","-","112.50"
"2","CONSTRUCTION MATERIALS","Lime","","-","5.31","5.00","4.47","3.83","4.00","-","4.64","-","-","-","-"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","11.29","12.00","8.00","9.65","12.00","9.86","-","8.32","3.46","3.20","2.50","2.60"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","32.66","38.00","34.66","40.00","35.00","35.33","34.66","33.97","36.33","32.00","38.99","35.33"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","56.00","60.00","59.33","60.00","65.00","55.00","53.17","50.00","68.18","59.16","62.45","55.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","118.31","130.00","115.00","130.00","-","131.33","125.00","125.00","129.33","130.00","125.00","115.00"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","-","66.63","62.63","91.46","68.29","61.62","53.28","50.00","56.62","-","-","45.00"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","-","120.00","141.65","130.00","126.64","166.65","-","160.00","130.00","130.00","-","171.43"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","-","250.00","250.00","301.33","246.62","280.00","-","283.29","250.00","-","-","260.00"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","250.00","-","380.00","400.00","-","322.00","-","-","-","-"
"11","CONSTRUCTION MATERIALS","Hollow Concrete Block(15x20x40 cm Cub","Hollow Concrete Block(15x20x40 cm Cub","10.32","-","10.00","8.65","10.32","10.00","13.33","14.20","-","-","-","8.00"
"12","CONSTRUCTION MATERIALS","Bricks (25cm x 12cm x 6cm)","","-","-","-","-","-","-","-","4.60","-","-","-","-"
"13","CONSTRUCTION MATERIALS","Floor Board 4m Length","","400.00","416.64","-","-","-","-","-","-","-","-","-","100.00"
"14","CONSTRUCTION MATERIALS","Iron Pipe 6mt","","236.48","230.00","-","-","274.95","-","-","-","269.62","-","-","-"
"15","CONSTRUCTION MATERIALS","Chipwood (125cm x 250cm x 8mm)","","196.61","-","246.66","-","-","252.19","200.00","244.95","-","170.00","-","170.00"
"16","CONSTRUCTION MATERIALS","Sand","Meter ","-","-","333.33","237.50","357.00","-","-","400.00","-","-","-","-"
"17","CONSTRUCTION MATERIALS","Gutter Nº 33","M","-","-","-","-","-","-","-","92.47","-","-","-","-"
"18","CONSTRUCTION MATERIALS","Window Glass (50cm x 50cm x 3mm)","","-","-","53.00","45.99","70.00","57.98","-","58.32","-","-","-","-"
"19","CONSTRUCTION MATERIALS","Water Tanker,Roto (1 meter cube)","","-","-","-","-","-","-","-","-","-","-","-","3500.00"
"20","CONSTRUCTION MATERIALS","Stone for House Construction","Meter ","-","-","144.44","180.81","300.00","133.33","-","150.00","-","-","-","180.00"
"21","CONSTRUCTION MATERIALS","Mega Paints","","121.64","-","141.65","120.66","123.31","125.00","137.14","120.00","130.00","130.00","-","171.43"
"22","CONSTRUCTION MATERIALS","Nefas seleke Paints","","-","-","-","-","-","-","140.00","147.00","-","-","-","-"
"23","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Cement Made Tile)","","-","-","-","-","72.40","-","-","79.35","-","-","-","-"
"24","CONSTRUCTION MATERIALS","\"Yewellel Nitaf\"(Plastic Made Tile)","",".59","-","-","-","-","-","-","-","-","-","-","-"
"25","CONSTRUCTION MATERIALS","Key (With hand)","","-","-","300.00","374.97","272.79","-","-","299.89","238.25","-","-","196.61"
"26","CONSTRUCTION MATERIALS","Door made of iron","","-","-","-","1104.99","916.37","1316.46","-","824.62","1800.00","-","-","1218.00"
"1","WATER","Water","Meter ","3.50","3.50","3.00","3.50","2.50","3.00","3.00","4.00","1.50","1.50","1.50","1.50"
"2","FUEL AND POWER","Fire Wood","Meter ","191.53","-","-","481.73","-","-","-","315.21","300.59","436.47","-","-"
"3","FUEL AND POWER","Charcoal","","6.75","7.14","-","4.87","10.49","8.72","11.94","5.78","4.92","1.30","2.13","4.27"
"4","FUEL AND POWER","Dung Cake","","-","-","-","-","-","-","-","-","-","-","-","-"
"5","FUEL AND POWER","Kerosine","","14.01","-","13.93","13.95","13.85","13.80","13.74","13.74","-","-","-","13.64"
"6","FUEL AND POWER","Diesel","","17.07","-","16.99","17.01","16.90","16.84","16.69","16.80","-","-","-","16.70"
"7","FUEL AND POWER","Electric","",".27",".27",".27",".27",".27",".27",".27",".27",".27",".27","-","-"
"8","FUEL AND POWER","Matches","","-","-","-","-","-","-","-","-","-","-","-","-"
"9","FUEL AND POWER","Candles","","-","-","-","-","-","-","-","-","-","-","-","-"
"10","FUEL AND POWER","Buthane Gas (Shell)","","-","-","-","-","-","-","-","677.08","-","-","-","-"
"11","FUEL AND POWER","Eveready Drycell","","6.83","-","5.00","5.24","5.50","-","5.00","6.00","6.00","-","-","6.65"
"12","CHAIRS, TABLES, ETC.","Table Wanza (Machine made) Varnished.","","816.33","833.24","1676.54","1415.31","2029.56","-","-","-","-","430.89","432.67","632.89"
"13","CHAIRS, TABLES, ETC.","Table Wanza (Hand made) Not Varnished","Table Wanza (Hand made) Not Varnished","-","-","-","-","-","-","-","-","-","-","-","-"
"14","CHAIRS, TABLES, ETC.","Chairs Wanza (Machine Made) Varnished","Chairs Wanza (Machine Made) Varnished","249.87","209.84","593.26","648.72","598.61","-","450.00","731.86","524.40","300.00","250.00","265.66"
"15","CHAIRS, TABLES, ETC.","Chairs Wanza (Hand Made) Varnished","","-","-","-","-","-","-","-","-","-","-","70.00","-"
"16","CHAIRS, TABLES, ETC.","Cupboard Wanza (2 doors) Varnished","","5161.40","4466.23","4149.80","3899.15","4000.00","5000.00","4481.40","3599.07","3800.00","3158.18","2449.49","2649.69"
"17","CHAIRS, TABLES, ETC.","Double Bed Wanza (120cm) Varnished","","4597.86","4814.54","-","3983.26","-","2800.00","3364.33","-","3741.66","2865.14","1864.34","1966.10"
"18","CHAIRS, TABLES, ETC.","Sofas (Complete)","","18973.67","-","-","-","-","-","-","-","-","-","10000.00",NA
"19","CHAIRS, TABLES, ETC.","Book Shelves Wanza (3 Shelves) no Doo","Book Shelves Wanza (3 Shelves) no Doo","-","-","1149.27","1189.92","2598.72","1966.10","1415.31","2530.30","-","800.00","500.00","742.59"
"20","CHAIRS, TABLES, ETC.","Chest of Drawer ","","-","-","-","2474.87","3122.69","3098.39","2598.72","3240.37","3098.39","2500.00","-","1597.91"
"1","Bed Sheet (Non-Patterned Bahir Dar)","1","Pa","256.62","251.59","-","-","331.66","254.95","-","280.00","-","-","-","-"
"2","Bed Sheet(Patterned Kombolcha)","1","Pa","306.52","254.97","282.66","-","423.31","-","284.96","424.26","-","-","-","450.00"
"3","Bed Sheet(Patterned Kombolcha)","Bed Cover(Patterned Kombolcha)","","369.86","-","-","-","-","-","-","-","-","-","-","-"
"4","Bed Sheet(Patterned Kombolcha)","Blanket Woolen(Debre B",")160cm x 220cm","306.52","-","294.97","339.90","296.63","300.00","289.89","-","-","-","-","-"
"5","Bed Sheet(Patterned Kombolcha)","Mattress-Sponge (A","","1116.42","1116.42","1244.99","873.09","906.62","943.29","1200.00","943.29","-","-","-","650.00"
"6","Bed Sheet(Patterned Kombolcha)","Towel-Local (Kombolcha)","","66.63","-","62.45","44.50","-","-","50.00","90.00","-","-","-","-"
"7","Bed Sheet(Patterned Kombolcha)","Curtains","m","116.57","156.65","120.00","71.63","153.26","150.00","93.22","108.31","103.23","100.00","67.45","113.24"
"8","EARTHEN WARE","Plastic tile","m","78.30","-","54.66","72.00","50.00","80.00","57.45","-","55.00","60.00","53.28","70.00"
"9","EARTHEN WARE","Water Pot","","-","54.85","35.33","37.28","-","-","-","-","-","-","-","-"
"10","EARTHEN WARE","'Jebena' Medium Size","","10.63","11.29","8.00","10.32","12.93","15.00","12.32","-","25.00","30.00","31.58","30.00"
"11","EARTHEN WARE","'Mitad' (Griddle of Clay)","","31.58","39.32","50.00","53.99","50.00","38.00","46.61","35.00","100.00","-","76.52","73.29"
"12","EARTHEN WARE","Local Stove '(Lakech)'","","38.26","45.00","43.32","57.30","74.89","50.00","58.28","88.30","57.45","53.13","36.59","71.63"
"13","EARTHEN WARE","Cup for Coffee (China)","","5.65","5.00","5.65","4.64","6.65","5.65","6.32","5.00","5.00","7.27","5.00","4.64"
"14","EARTHEN WARE","Plate Clay (imported)","","16.43","-","-","19.93","-","-","-","-","-","18.64","-","20.33"
"15","STRAW, BAMBOO AND OTHERS","'Sefed'","","49.83","55.00","62.96","72.13","41.60","-","53.28","44.81","-","-","51.61","54.85"
"16","STRAW, BAMBOO AND OTHERS","Sack 100Kg Capacity","","6.00","7.32","12.00","8.32","9.28","11.32","10.00","10.00","8.32","-","7.00","8.62"
"17","METAL WARE","Cooking Pan Medium (Local)","","134.94","154.95","50.29","39.97","50.00","59.33","55.98","50.92","103.23","44.81","-","62.45"
"18","METAL WARE","Tray (Nickel) Medium Nº 45 Local","","55.98","55.00","40.00","38.31","40.00","-","43.27","40.00","50.00","41.21","47.43","52.63"
"19","METAL WARE","Electric 'Mitad' Aluminium","","1450.00","-","1200.00","1349.38","1266.45","1064.87","1300.00","966.38","-","-","-","-"
"1","P R I C E   I N    B I R R","Gas Stove (Kerosine) China","","-","-","-","149.78","180.00","-","-","132.48","-","-","-","131.65"
"2","P R I C E   I N    B I R R","Permuze(Japan)","","106.27","118.31","-","-","-","-","-","-","-","-","91.64","-"
"3","P R I C E   I N    B I R R","Refregrator","","7949.68","-","7200.00","8589.99","-","-","7000.00","8500.00","-","-","-","-"
"4","PLASTIC WARE (LOCAL MADE)","Jerrycan (20 Litres)","","33.25","28.23","-","-","-","-","-","-","-","-","-","-"
"5","PLASTIC WARE (LOCAL MADE)","Bucket (20 Litres)","","41.60","35.97","40.00","43.65","37.00","40.00","43.32","39.66","55.00","45.00","45.00","32.60"
"6","GLASS WARE","Glass for Tea (Duralex)","","-","-","-","6.65","6.65","7.00","7.65","7.00","7.00","-","-","7.65"
"7","OTHER HOUSEHOLD EQUIPMENT","Kerosine Lamp","","86.64","88.30","-","-","-","-","-","82.46","-","-","78.30","75.00"
"8","OTHER HOUSEHOLD EQUIPMENT","'Kuraz' Small Local Kerosine Lamp","","5.65","6.00","3.00","4.31","4.31","7.00","7.00","-","-","-","-","-"
"9","OTHER HOUSEHOLD EQUIPMENT","Flash Light","","16.64","-","18.29","16.98","17.66","23.66","25.65","30.00","26.98","-","-","-"
"10","OTHER HOUSEHOLD EQUIPMENT","Electric Bulb Philips(40/60 Watt)","","12.66","12.00","12.00","12.97","12.00","11.66","12.00","10.00","-","15.00","12.00","12.66"
"11","HOUSEHOLD OPERATION","Hard Soap (Local)","2","-","-","5.29","-","7.33","-","-","7.27","-","-","-","5.32"
"12","HOUSEHOLD OPERATION","Hard Soap (Imported)","2","12.66","12.00","11.32","11.32","12.00","12.32","11.00","12.00","6.87","-","-","6.40"
"13","HOUSEHOLD OPERATION","Detergent (Omo)","","3.00","3.00","-","5.00","2.00","3.87","3.89","5.00","2.00","2.00","2.00","2.50"
"14","HOUSEHOLD OPERATION","Incense","","85.00","84.90","-","61.65","-","88.00","-","76.52","78.30","90.00","-","-"
"15","HOUSEHOLD OPERATION","Sandal Wood","","1.00",".50",".50",".50",".50",".91",".50",".50",".57",".50",".30",".75"
"16","HOUSEHOLD OPERATION","Toilet Paper (Mamko)","","8.65","10.00","7.00","10.00","10.00","10.00","9.32","8.65","10.00","8.00","7.16","8.32"
"17","HOUSEHOLD OPERATION","Detergent(Zahira)","","2.04","2.13","2.00","2.42","2.00","-","-","-","2.42","-","1.79","2.08"
"1","DRY CLEANING","Dry Cleaning (Suit Men)","","45.00","-","20.00","40.00","30.00","30.00","37.42","33.25","-","-","-","-"
"2","DOMESTIC SERVICE","Maid Servant","M","263.04","282.31","246.62","347.60","275.89","259.62","193.10","300.00","365.93","500.00","282.31","416.02"
"3","DOMESTIC SERVICE","Unskilled Service (Daily Laborer)","","60.00","60.00","40.00","50.00","60.00","70.00","40.00","50.00","48.27","40.00","20.65","40.00"
"4","DOMESTIC SERVICE","Salary for Guard ","M","-","-","-","-","-","-","-","-","-","-","-","-"
"5","MEDICAL CARE","Ampicillin(250 mg) Local","56 C","25.33","28.00","-","25.04","-","-","-","20.95","39.00","-","56.00","50.09"
"6","MEDICAL CARE","Tetracycline (250 mg) Local","56 C","21.44","22.40","22.28","13.72","23.30","20.49","17.69","20.35","22.43","19.51","16.61","27.62"
"7","MEDICAL CARE","Penicillin injection(4 Mu","But","11.29","8.32","7.83","8.00","6.66","6.00","9.65","6.60","6.48","6.00","8.49","10.63"
"8","MEDICAL CARE","Chloramphenicol(250mg) Local","56 C","26.96","28.00","23.30","23.76","24.13","-","15.81","21.42","29.75","-","25.99","27.62"
"9","MEDICAL CARE","Paracitamole(500mg) Local","20 P","4.64","4.00","4.00","4.31","3.00","3.30","4.00","3.63","4.00","4.00","-","5.24"
"10","MEDICAL CARE","Cough Syrup (Efadykse) Local","125c","25.96","22.36","14.66","20.33","20.00","20.00","20.33","20.65","20.49","20.00","-","23.96"
"11","MEDICAL CARE","Bactrim(480mg) Local","30 P","12.93","12.00","12.98","9.00","10.43","6.00","9.47","10.90","11.74","10.67","12.00","12.97"
"12","MEDICAL CARE","Vermox(100mg) Local","12 P","4.64","4.00","5.09","4.70","6.38","-","-","6.11","5.24","-","5.17","-"
"13","MEDICAL CARE","Mezel(250mg) Local","30 C","13.92","15.00","11.94","10.43","11.94","8.92","9.97","10.43","12.02","11.62","12.00","16.94"
"14","MEDICAL CARE","Asprin (300 mg) Local","20 P","6.00","4.00","4.00","4.93","3.30","2.00","2.62","3.17","6.00","4.00","-","6.00"
"15","MEDICAL CARE","Insulin(Lente)","Butt","114.89","-","-","-","-","-","-","74.75","-","-","-","1.70"
"16","MEDICAL CARE","Amoxacillin(500mg)","16 C","16.00","16.00","16.00","14.85","16.64","15.73","16.00","15.16","15.20","16.00","18.07","17.00"
"17","MEDICAL CARE","Magnesium Oxide","30 P","6.00","6.00","6.00","7.23","4.95","5.20","6.00","6.00","-","6.00","-","6.00"
"18","MEDICAL CARE","Fasider Tablet","1 P","-","-","-","-","-","-","-","-","-","-","-","-"
"19","OTHER MEDICAL EXPENSES","Doctor's Fee (Government)","per v","7.00","7.00","5.00","10.00","5.92","5.12","5.92","5.77","5.00","3.00","2.00","5.00"
"20","OTHER MEDICAL EXPENSES","Doctor's Fee (Private)","per v","20.00","20.00","20.00","25.00","15.00","10.00","18.17","26.21","17.32","14.42","-","10.00"
"21","OTHER MEDICAL EXPENSES","Injection (Service Charge)","","-","1.00","5.00","-","2.00","-","5.00","2.29","2.45","2.29","2.00","2.29"
"1","P R I C E   I N    B I R R","Labratory Test Fee (Private)","","-","20.00","20.00","13.92","15.00","10.00","13.10","15.54","20.00","10.00","7.88","12.60"
"2","P R I C E   I N    B I R R","Bed Charge (gov","per","25.00","5.00","15.00","20.00","20.00","15.00","15.00","20.00","-","-","-","-"
"3","P R I C E   I N    B I R R","X-Ray(For TB)","","-","-","-","100.00","70.00","-","-","99.33","-","-","-","80.00"
"4","P R I C E   I N    B I R R","Bed Charge (Private)","per","-","-","-","60.00","100.00","-","-","95.83","60.00","-","-","50.00"
"5","TRANSPORT","Benzene","","19.17","-","19.33","19.31","19.20","19.14","-","19.10","-","-","-","19.00"
"6","TRANSPORT","Motor Oil (Mobil)","","75.00","-","80.00","70.00","83.15","80.66","75.00","83.10","100.00","-","-","102.50"
"7","TRANSPORT","Car Washing and Greasing","","100.00","-","60.00","50.00","-","60.00","-","73.19","-","-","-","100.00"
"8","TRANSPORT","Bus Fare (per km)","T","-","-",".31",".21",".37",".32",".29",".29","-","-","-","-"
"9","TRANSPORT","Bus Fare (within Town) ","","-","-","-","-","-","-","-","-","-","-","-","-"
"10","TRANSPORT","Taxi Fare ","","2.00","-","1.50","1.50","-","1.50","2.00","1.35","-","-","-","-"
"11","TRANSPORT","Air Plane (To Addis Ababa) ","","1624.00","-","-","1506.00","-","-","-","1376.00","-","-","-","-"
"12","TRANSPORT","Animal Transport fare","","-","-","-","-","-","-","-","-","-","-","-","-"
"13","TRANSPORT","Cart Fare","","-","-","-","4.47","2.00","-","-","-","2.00","2.00","-","3.00"
"14","COMMUNICATION","Telephone Charge (with town)","Pe","-","-",".20",".20",".20",".20",".20",".20","-",".20","-","-"
"15","COMMUNICATION","Telephone Charge to Addia Ababa","Pe","4.20","4.40","4.20","-","4.20","-","4.20","3.60","-","2.48","2.49","2.48"
"16","COMMUNICATION","Telephone Line Installation Charge","","283.10","283.10","283.80","283.30","283.30","283.30","283.30","283.30","283.30","283.80","-","283.30"
"17","COMMUNICATION","Mobile Apparatus(Nokia6200)","","-","-","-","-","-","-","-","-","-","-","-","-"
"18","COMMUNICATION","Mobile call from Tel","Pe","-","-","2.16","2.16","2.15","-","2.16","2.16","-","2.48","2.49","-"
"19","COMMUNICATION","Internet Service","10hrs/m","-","-","106.00","106.00","106.00","106.00","106.00","106.00","121.90","121.90","121.90","121.90"
"1","EQUIPMENT AND ACCESSORIES","T","","6648.31","-","4800.00","5374.94","4500.00","-","5000.00","5000.00","-","-","-","-"
"2","EQUIPMENT AND ACCESSORIES","Cassette Recorded Original(Local Musi","Cassette Recorded Original(Local Musi","16.51","15.00","15.00","13.66","15.00","15.00","15.00","15.00","13.49","-","10.00","12.00"
"3","EQUIPMENT AND ACCESSORIES","Radio Set Philips 3 Band","","489.90","-","-","-","-","-","-","-","-","-","-","-"
"4","EQUIPMENT AND ACCESSORIES","Tape Recorder National (2 Speaker)","","2645.75","-","-","-","-","-","-","-","-","-","-","-"
"5","EQUIPMENT AND ACCESSORIES","Expense for Photograph(Passport size)","Expense for Photograph(Passport size)","10.00","10.00","8.00","10.00","10.00","8.00","10.00","10.00","10.00","10.00","12.00","11.29"
"6","EQUIPMENT AND ACCESSORIES","Newspaper (Addis Zemen)","","-","-","-","-","-","-","-","3.00","-","-","-","-"
"7","EQUIPMENT AND ACCESSORIES","Theater Enterance Fee ","","-","-","-","-","-","-","-","-","-","-","-","-"
"8","EQUIPMENT AND ACCESSORIES","VCD-Player(Mayato Japan)","","1016.40","1000.00","-","-","-","-","-","-","-","-","-","-"
"9","EQUIPMENT AND ACCESSORIES","VCD Cassette rent","","4.31","5.00","5.00","4.00","3.30","3.30","3.00","3.00","3.00","5.00","2.00","6.00"
"10","EDUCATION","Exercise Book (50 Leaves) Local","","5.00","5.00","4.66","-","5.00","7.66","-","-","7.66","8.00","7.00","6.65"
"11","EDUCATION","Pencil (China)","","1.00","1.00","3.00","2.29","2.00","2.00","-","2.00","-","2.00","2.00","2.29"
"12","EDUCATION","Ball Point-Bic England","","3.00","3.00","3.00","3.00","3.32","3.50","3.50","4.00","-","3.00","3.66","3.63"
